01/28/25    08:35:20,0 days 00:55:22,14.9V,5.2V,13.0V,13.0V,0.0A,0.0A,0.0A,-0.2A,,26.7C
01/28/25    08:30:19,0 days 00:50:22,14.8V,5.2V,12.9V,12.9V,0.0A,0.0A,0.0A,-0.2A,,26.6C
01/28/25    08:25:18,0 days 00:45:22,14.8V,5.2V,12.9V,12.9V,0.0A,0.0A,0.0A,-0.2A,,26.4C
01/28/25    08:20:17,0 days 00:40:22,14.8V,5.2V,12.9V,12.9V,0.0A,0.0A,0.0A,-0.2A,,26.3C
01/28/25    08:15:16,0 days 00:35:22,14.6V,5.2V,12.9V,12.9V,0.0A,0.0A,0.0A,-0.2A,,26.1C
01/28/25    08:10:15,0 days 00:30:22,14.7V,5.2V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,25.9C
01/28/25    08:05:14,0 days 00:25:22,14.6V,5.2V,12.6V,12.6V,0.0A,0.2A,0.0A,-0.2A,,25.6C
01/28/25    08:00:13,0 days 00:20:22,14.6V,5.2V,12.6V,12.6V,0.0A,0.2A,0.0A,-0.2A,,25.2C
01/28/25    07:55:13,0 days 00:15:23,14.6V,5.2V,12.6V,12.6V,0.0A,0.2A,0.0A,-0.2A,,24.4C
01/28/25    07:50:16,Event 254: Log Cleared,14.5V,4.7V,12.6V,12.6V,0.3A,0.2A,0.0A,-0.2A,,23.2C
01/28/25    08:35:20,0 days 00:55:22,14.9V,5.2V,13.0V,13.0V,0.0A,0.0A,0.0A,-0.2A,,26.7C
01/28/25    08:30:19,0 days 00:50:22,14.8V,5.2V,12.9V,12.9V,0.0A,0.0A,0.0A,-0.2A,,26.6C
01/28/25    08:25:18,0 days 00:45:22,14.8V,5.2V,12.9V,12.9V,0.0A,0.0A,0.0A,-0.2A,,26.4C
01/28/25    08:20:17,0 days 00:40:22,14.8V,5.2V,12.9V,12.9V,0.0A,0.0A,0.0A,-0.2A,,26.3C
01/28/25    08:15:16,0 days 00:35:22,14.6V,5.2V,12.9V,12.9V,0.0A,0.0A,0.0A,-0.2A,,26.1C
01/28/25    08:10:15,0 days 00:30:22,14.7V,5.2V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,25.9C
01/28/25    08:05:14,0 days 00:25:22,14.6V,5.2V,12.6V,12.6V,0.0A,0.2A,0.0A,-0.2A,,25.6C
01/28/25    08:00:13,0 days 00:20:22,14.6V,5.2V,12.6V,12.6V,0.0A,0.2A,0.0A,-0.2A,,25.2C
01/28/25    07:55:13,0 days 00:15:23,14.6V,5.2V,12.6V,12.6V,0.0A,0.2A,0.0A,-0.2A,,24.4C
01/28/25    07:50:16,Event 254: Log Cleared,14.5V,4.7V,12.6V,12.6V,0.3A,0.2A,0.0A,-0.2A,,23.2C
01/02/15    14:33:43,0 days 14:29:59,0.0V,4.7V,12.9V,12.9V,0.4A,0.0A,0.0A,-0.2A,,28.3C
01/02/15    14:28:43,0 days 14:25:00,0.0V,4.7V,12.9V,12.9V,0.4A,0.0A,0.0A,-0.2A,,28.3C
01/02/15    14:23:42,0 days 14:20:00,0.0V,4.7V,12.9V,12.9V,0.4A,0.0A,0.0A,-0.2A,,28.3C
01/02/15    14:18:41,0 days 14:15:00,0.0V,4.7V,12.9V,12.9V,0.4A,0.0A,0.0A,0.0A,,28.3C
01/02/15    14:13:40,0 days 14:10:00,0.0V,4.7V,12.9V,12.9V,0.4A,0.0A,0.0A,-0.2A,,28.3C
01/02/15    14:08:39,0 days 14:05:00,0.0V,4.7V,12.9V,12.9V,0.4A,0.0A,0.0A,-0.2A,,28.4C
01/02/15    14:03:38,0 days 14:00:00,0.0V,4.7V,12.9V,12.9V,0.4A,0.0A,0.0A,-0.2A,,28.4C
01/02/15    13:58:37,0 days 13:55:00,0.0V,4.7V,12.9V,12.9V,0.4A,0.0A,0.0A,-0.2A,,28.4C
01/02/15    13:53:36,0 days 13:50:00,0.0V,4.7V,12.9V,12.9V,0.4A,0.0A,0.0A,0.0A,,28.4C
01/02/15    13:48:35,0 days 13:45:00,0.0V,4.7V,12.9V,12.9V,0.4A,0.0A,0.0A,-0.2A,,28.4C
01/02/15    13:43:34,0 days 13:40:00,0.0V,4.7V,12.9V,12.9V,0.4A,0.0A,0.0A,-0.2A,,28.5C
01/02/15    13:38:33,0 days 13:35:00,0.0V,4.7V,12.9V,12.9V,0.4A,0.0A,0.0A,-0.2A,,28.5C
01/02/15    13:33:32,0 days 13:29:59,0.0V,4.7V,12.9V,12.9V,0.4A,0.0A,0.0A,-0.2A,,28.5C
01/02/15    13:28:31,0 days 13:24:59,0.0V,4.7V,12.9V,12.9V,0.4A,0.0A,0.0A,-0.2A,,28.5C
01/02/15    13:23:31,0 days 13:20:00,0.0V,4.7V,12.9V,12.9V,0.4A,0.0A,0.0A,-0.2A,,28.5C
01/02/15    13:18:29,0 days 13:14:59,0.0V,4.7V,13.0V,12.9V,0.4A,0.0A,0.0A,-0.2A,,28.6C
01/02/15    13:13:29,0 days 13:10:00,0.0V,4.7V,13.0V,12.9V,0.4A,0.0A,0.0A,-0.2A,,28.6C
01/02/15    13:08:27,0 days 13:04:59,0.0V,4.7V,13.0V,12.9V,0.4A,0.0A,0.0A,-0.2A,,28.6C
01/02/15    13:03:27,0 days 13:00:00,0.0V,4.7V,13.0V,12.9V,0.4A,0.0A,0.0A,-0.2A,,28.6C
01/02/15    12:58:25,0 days 12:54:59,0.0V,4.7V,13.0V,13.0V,0.4A,0.0A,0.0A,-0.2A,,28.6C
01/02/15    12:53:25,0 days 12:50:00,0.0V,4.7V,13.0V,13.0V,0.4A,0.0A,0.0A,-0.2A,,28.6C
01/02/15    12:48:23,0 days 12:44:59,0.0V,4.7V,13.0V,13.0V,0.4A,0.0A,0.0A,-0.2A,,28.6C
01/02/15    12:43:23,0 days 12:40:00,0.0V,4.7V,13.0V,13.0V,0.4A,0.0A,0.0A,-0.2A,,28.7C
01/02/15    12:38:21,0 days 12:34:59,0.0V,4.7V,13.0V,13.0V,0.4A,0.0A,0.0A,-0.2A,,28.7C
01/02/15    12:33:21,0 days 12:30:00,0.0V,4.7V,13.0V,13.0V,0.4A,0.0A,0.0A,-0.2A,,28.7C
01/02/15    12:28:19,0 days 12:24:59,0.0V,4.7V,13.0V,13.0V,0.4A,0.0A,0.0A,-0.2A,,28.7C
01/02/15    12:23:19,0 days 12:20:00,0.0V,4.7V,12.9V,12.9V,0.4A,0.0A,0.2A,-0.2A,,28.7C
01/02/15    12:18:18,0 days 12:15:00,0.0V,5.2V,12.9V,12.9V,0.0A,0.2A,0.2A,-0.2A,,28.7C
01/02/15    12:13:17,0 days 12:10:00,0.0V,5.2V,12.9V,12.9V,0.0A,0.2A,0.2A,-0.2A,,28.7C
01/02/15    12:08:16,0 days 12:05:00,0.0V,5.2V,12.9V,12.9V,0.0A,0.2A,0.2A,-0.2A,,28.8C
01/02/15    12:03:15,0 days 12:00:00,0.0V,5.2V,12.9V,12.9V,0.0A,0.2A,0.2A,-0.2A,,28.8C
01/02/15    11:58:14,0 days 11:55:00,0.0V,5.2V,12.9V,12.9V,0.0A,0.2A,0.2A,-0.2A,,28.8C
01/02/15    11:53:13,0 days 11:50:00,0.0V,5.2V,12.9V,12.9V,0.0A,0.2A,0.2A,-0.2A,,28.8C
01/02/15    11:48:12,0 days 11:45:00,0.0V,5.2V,12.9V,12.9V,0.0A,0.2A,0.2A,-0.2A,,28.9C
01/02/15    11:43:11,0 days 11:40:00,0.0V,5.2V,12.9V,12.9V,0.0A,0.2A,0.2A,-0.2A,,28.9C
01/02/15    11:38:10,0 days 11:35:00,0.0V,5.2V,12.9V,12.9V,0.0A,0.2A,0.2A,-0.2A,,28.9C
01/02/15    11:33:09,0 days 11:30:00,0.0V,5.2V,12.9V,12.9V,0.0A,0.2A,0.2A,-0.2A,,28.9C
01/02/15    11:28:08,0 days 11:25:00,0.0V,5.2V,12.9V,12.9V,0.0A,0.2A,0.2A,-0.2A,,28.9C
01/02/15    11:23:07,0 days 11:20:00,0.0V,5.2V,12.9V,12.9V,0.0A,0.2A,0.2A,-0.2A,,28.9C
01/02/15    11:18:05,0 days 11:14:59,0.0V,5.2V,12.9V,12.9V,0.0A,0.2A,0.2A,-0.2A,,29.0C
01/02/15    11:13:04,0 days 11:09:59,0.0V,5.2V,12.9V,12.9V,0.0A,0.2A,0.2A,-0.2A,,29.0C
01/02/15    11:08:03,0 days 11:04:59,0.0V,5.2V,12.9V,12.9V,0.0A,0.2A,0.2A,-0.2A,,29.0C
01/02/15    11:03:02,0 days 11:00:00,0.0V,5.2V,12.9V,12.9V,0.0A,0.2A,0.2A,-0.2A,,29.0C
01/02/15    10:58:01,0 days 10:55:00,0.0V,5.2V,13.0V,12.9V,0.0A,0.2A,0.2A,-0.2A,,29.0C
01/02/15    10:53:00,0 days 10:50:00,0.0V,5.2V,13.0V,12.9V,0.0A,0.2A,0.2A,-0.2A,,29.0C
01/02/15    10:47:59,0 days 10:45:00,0.0V,5.2V,13.0V,12.9V,0.0A,0.2A,0.2A,-0.2A,,29.1C
01/02/15    10:42:58,0 days 10:40:00,0.0V,5.2V,13.0V,12.9V,0.0A,0.2A,0.2A,0.0A,,29.1C
01/02/15    10:37:57,0 days 10:35:00,0.0V,5.2V,13.0V,12.9V,0.0A,0.2A,0.2A,-0.2A,,29.1C
01/02/15    10:32:55,0 days 10:29:59,0.0V,5.2V,13.0V,12.9V,0.0A,0.2A,0.2A,-0.2A,,29.1C
01/02/15    10:27:54,0 days 10:24:59,0.0V,5.2V,13.0V,12.9V,0.0A,0.2A,0.2A,0.0A,,29.1C
01/02/15    10:22:53,0 days 10:20:00,0.0V,5.1V,12.9V,12.9V,0.0A,0.2A,0.2A,-0.2A,,29.2C
01/02/15    10:17:52,0 days 10:15:00,0.0V,5.2V,13.0V,13.0V,0.0A,0.0A,0.2A,-0.2A,,29.2C
01/02/15    10:12:51,0 days 10:10:00,0.0V,5.2V,13.0V,13.0V,0.0A,0.0A,0.2A,-0.2A,,29.3C
01/02/15    10:07:50,0 days 10:05:00,0.0V,5.2V,13.0V,13.0V,0.0A,0.0A,0.2A,-0.2A,,29.4C
01/02/15    10:02:49,0 days 10:00:00,0.0V,5.2V,13.0V,13.0V,0.0A,0.0A,0.2A,-0.2A,,29.4C
01/02/15    09:57:48,0 days 09:55:00,0.0V,5.2V,13.0V,13.0V,0.0A,0.0A,0.2A,-0.2A,,29.5C
01/02/15    09:52:46,0 days 09:49:59,0.0V,5.2V,13.0V,13.0V,0.0A,0.0A,0.2A,-0.2A,,29.6C
01/02/15    09:47:45,0 days 09:44:59,0.0V,5.2V,13.1V,13.1V,0.0A,0.0A,0.0A,-0.2A,,29.6C
01/02/15    09:42:44,0 days 09:40:00,0.0V,5.2V,13.1V,13.1V,0.0A,0.0A,0.0A,-0.2A,,29.7C
