Time ID V1 V2 V3 I1 I2 I3 I4 O1 O2
2023-07-09 00:08:00 21 12738 4819 0 228 755 33 2 0 3
2023-07-09 00:18:00 21 12793 4819 0 228 703 34 0 0 0
2023-07-09 00:28:00 21 12738 4819 0 228 739 33 2 0 2
2023-07-09 00:38:00 21 12738 4819 0 229 760 34 0 0 0
2023-07-09 00:48:00 21 12683 4819 0 229 762 33 1 0 1
2023-07-09 00:58:00 21 12683 4819 0 229 764 34 1 0 0
2023-07-09 01:08:00 21 12639 4819 0 229 753 33 2 0 2
2023-07-09 01:18:00 21 12639 4819 0 229 698 34 3 0 4
2023-07-09 01:28:00 21 12639 4819 0 230 807 34 1 0 1
2023-07-09 01:38:00 21 12639 4819 0 229 760 34 2 0 2
2023-07-09 01:48:00 21 12639 4819 0 230 756 33 1 0 1
2023-07-09 01:58:00 21 12639 4819 0 230 744 34 2 0 2
2023-07-09 02:08:00 21 12793 4819 0 28 527 33 1 0 1
2023-07-09 02:18:00 21 12848 4819 0 -4 503 34 3 0 2
2023-07-09 02:28:00 21 12848 4819 0 -3 505 34 1 0 1
2023-07-09 02:38:00 21 12848 4819 0 -3 505 33 0 0 0
2023-07-09 02:48:00 21 12793 4819 0 -2 505 34 0 0 0
2023-07-09 02:58:00 21 12793 4819 0 -2 506 33 0 0 1
2023-07-09 03:08:00 21 12793 4819 0 -3 506 34 1 0 1
2023-07-09 03:18:00 21 12793 4819 0 -4 507 32 3 0 3
2023-07-09 03:28:00 21 12793 4819 0 -2 509 34 0 0 0
2023-07-09 03:38:00 21 12793 4819 0 -3 510 33 0 0 0
2023-07-09 03:48:00 21 12793 4819 0 -2 511 34 0 0 0
2023-07-09 03:58:00 21 12793 4819 0 -3 513 33 1 0 1
2023-07-09 04:08:00 21 12793 4819 0 -3 514 34 1 0 0
2023-07-09 04:18:00 21 12793 4819 0 -2 515 33 0 0 1
2023-07-09 04:28:00 21 12793 4819 0 -2 516 34 0 0 0
2023-07-09 04:38:00 21 12793 4819 0 -2 516 33 0 0 0
2023-07-09 04:48:00 21 12793 4819 0 -2 515 33 0 0 0
2023-07-09 04:58:00 21 12738 4819 0 -2 514 33 0 0 0
2023-07-09 05:08:00 21 12738 4819 0 -3 513 33 1 0 1
2023-07-09 05:18:00 21 12738 4819 0 -2 511 34 0 0 0
2023-07-09 05:28:00 21 12738 4819 0 -2 528 33 0 0 0
2023-07-09 05:38:00 21 12738 4819 0 -2 532 34 0 0 0
2023-07-09 05:48:00 21 12738 4819 0 -2 511 34 0 0 0
2023-07-09 05:58:00 21 12738 4819 0 -3 498 35 0 0 1
2023-07-09 06:08:00 21 12738 4819 0 -2 486 34 0 0 0
2023-07-09 06:18:00 21 12738 4819 0 -2 473 34 0 0 0
2023-07-09 06:28:00 21 12738 4819 0 -2 460 34 0 0 0
2023-07-09 06:38:00 21 12738 4819 0 -2 448 35 0 0 0
2023-07-09 06:48:00 21 12738 4819 0 -2 435 33 0 0 0
2023-07-09 06:58:00 21 12738 4819 0 -2 424 34 0 0 0
2023-07-09 07:08:00 21 12738 4819 0 -3 412 35 0 0 0
2023-07-09 07:18:00 21 12738 4819 0 -2 399 34 0 0 0
2023-07-09 07:28:00 21 12683 4819 0 49 388 34 0 0 0
2023-07-09 07:38:00 21 12584 4819 0 233 358 34 0 0 0
2023-07-09 07:48:00 21 12584 4819 0 231 290 34 0 0 0
2023-07-09 07:58:00 21 12639 4880 0 230 140 34 0 0 0
2023-07-09 08:08:00 21 12683 5124 0 230 73 33 0 0 0
