Time ID V1 V2 V3 I1 I2 I3 I4 O1 O2
2000-03-03 00:04:08 44 14091 4758 20372 -1 94 26 78 20537 769
2000-03-03 00:14:08 44 14091 4758 20218 -1 230 27 127 20592 714
2000-03-03 00:24:08 44 14091 4697 20328 0 291 28 148 20757 661
2000-03-03 00:34:08 44 14091 4697 20218 -1 293 27 153 20702 604
2000-03-03 00:44:08 44 14091 4697 20163 -1 291 27 152 20647 544
2000-03-03 00:54:08 44 14091 4697 20053 -1 291 28 135 20537 480
2000-03-03 01:04:08 44 14091 4697 19844 0 291 27 145 20537 403
2000-03-03 01:14:08 44 13761 4697 16071 -1 291 27 83 18975 123
2000-03-03 01:24:08 44 13222 4697 13926 0 291 27 30 18392 34
2000-03-03 01:34:08 44 13068 4697 13761 -1 291 27 22 17952 26
2000-03-03 01:44:08 44 13068 4697 13651 0 291 26 14 16984 16
2000-03-03 01:54:08 44 13068 4697 13123 0 291 27 5 14619 8
2000-03-03 02:04:08 44 13068 4697 11077 -1 291 26 3 10373 4
2000-03-03 02:14:08 44 12958 4697 2849 260 291 26 0 2046 1
2000-03-03 02:24:08 44 12903 4697 319 394 291 26 0 264 0
2000-03-03 02:34:08 44 12903 4697 0 393 291 25 0 0 0
2000-03-03 02:44:08 44 12903 4697 0 393 291 26 0 0 0
2000-03-03 02:54:08 44 12903 4697 0 393 290 25 0 0 0
2000-03-03 03:04:08 44 12903 4697 0 393 264 26 0 0 0
2000-03-03 03:14:08 44 12903 4697 0 393 224 26 0 0 0
2000-03-03 03:24:08 44 12958 5124 0 391 13 27 0 0 0
2000-03-03 03:34:08 44 12958 5185 0 391 0 26 0 0 0
2000-03-03 03:44:08 44 12958 5185 0 391 0 26 0 0 0
2000-03-03 03:54:08 44 12903 5185 0 391 0 26 0 0 0
2000-03-03 04:04:08 44 12903 5185 0 391 0 26 0 0 0
2000-03-03 04:14:08 44 12903 5185 0 392 0 26 0 0 0
2000-03-03 04:24:08 44 12903 5185 0 393 0 26 0 0 0
