Time ID V1 V2 V3 I1 I2 I3 I4 O1 O2
2000-03-28 00:04:08 44 14190 5185 21186 -1 0 27 32 21241 763
2000-03-28 00:14:08 44 14190 5185 21186 -1 0 26 32 21241 715
2000-03-28 00:24:08 44 14135 4758 21186 0 50 27 63 21340 663
2000-03-28 00:34:08 44 14135 4758 21186 -1 59 27 65 21340 607
2000-03-28 00:44:08 44 14135 4758 21186 0 48 27 65 21395 545
2000-03-28 00:54:08 44 14135 4758 21076 -1 42 27 64 21241 481
2000-03-28 01:04:08 44 14135 4758 20911 0 48 27 66 21131 406
2000-03-28 01:14:08 44 14091 4758 18876 0 51 27 55 20163 216
2000-03-28 01:24:08 44 13761 4758 14465 0 54 27 30 18711 35
2000-03-28 01:34:08 44 13497 4758 14135 -1 52 27 22 18282 25
2000-03-28 01:44:08 44 13332 4758 13816 0 51 27 12 17149 15
2000-03-28 01:54:08 44 13222 4758 13222 34 51 27 5 14784 7
2000-03-28 02:04:08 44 13013 4758 11077 226 50 27 3 10373 4
2000-03-28 02:14:08 44 13013 4758 2904 225 49 27 0 2046 2
2000-03-28 02:24:08 44 13013 4758 319 225 52 25 0 220 0
2000-03-28 02:34:08 44 13013 4758 0 225 51 26 0 0 0
2000-03-28 02:44:08 44 12903 4697 0 342 360 26 0 0 0
2000-03-28 02:54:08 44 12848 4697 0 395 426 25 0 0 0
2000-03-28 03:04:08 44 12848 4697 0 395 428 26 0 0 0
2000-03-28 03:14:08 44 12848 4697 0 395 420 26 0 0 0
2000-03-28 03:24:08 44 12848 4697 0 395 411 26 0 0 0
2000-03-28 03:34:08 44 12848 4697 0 395 407 26 0 0 0
2000-03-28 03:44:08 44 12848 4697 0 395 359 26 0 0 0
2000-03-28 03:54:08 44 12903 4758 0 393 52 25 0 0 0
2000-03-28 04:04:08 44 12903 4758 0 393 56 26 0 0 0
2000-03-28 04:14:08 44 12903 4758 0 394 53 26 0 0 0
2000-03-28 04:24:08 44 12903 4758 0 394 53 26 0 0 0
2000-03-28 04:34:08 44 12958 4758 0 318 51 26 0 0 0
2000-03-28 04:44:08 44 13013 4758 0 164 58 25 0 0 0
2000-03-28 04:54:08 44 13013 4758 0 164 51 26 0 0 0
2000-03-28 05:04:08 44 13013 4758 0 164 56 26 0 0 0
2000-03-28 05:14:08 44 13013 5124 0 153 3 25 0 0 0
2000-03-28 05:24:08 44 13123 5185 0 0 0 26 0 0 0
2000-03-28 05:34:08 44 13123 5185 0 0 0 25 0 0 0
2000-03-28 05:44:08 44 13123 5185 0 0 0 26 0 0 0
2000-03-28 05:54:08 44 13123 5185 0 0 0 25 0 0 0
2000-03-28 06:04:08 44 13123 5185 0 0 0 25 0 0 0
2000-03-28 06:14:08 44 13123 5185 0 0 0 26 0 0 0
2000-03-28 06:24:08 44 13123 5185 0 0 0 26 0 0 0
2000-03-28 06:34:08 44 13123 5185 0 0 0 25 0 0 0
2000-03-28 06:44:08 44 13123 5185 0 0 0 26 0 0 0
2000-03-28 06:54:08 44 13123 5185 0 0 0 25 0 0 0
2000-03-28 07:04:08 44 13123 5185 0 0 0 25 0 0 0
2000-03-28 07:14:08 44 13123 5185 0 0 0 26 0 0 0
2000-03-28 07:24:08 44 13123 5185 0 0 0 25 0 0 0
2000-03-28 07:34:08 44 13123 5185 0 -1 0 25 0 0 0
2000-03-28 07:44:08 44 13123 5185 0 0 0 25 0 0 0
2000-03-28 07:54:08 44 13123 5185 0 0 0 25 0 0 0
