Hour,LED_1,LED_2,USB
0,0.09,0.27,0.15
1,0.09,0.26,0.15
2,0.09,0.23,0.14
3,0.1,0.22,0.15
4,0.09,0.2,0.24
5,0.09,0.18,0.38
6,0.07,0.11,0.55
7,0.02,0.02,0.63
8,0.0,0.0,0.66
9,0.0,0.01,0.65
10,0.0,0.01,0.56
11,0.01,0.01,0.56
12,0.01,0.0,0.58
13,0.0,0.0,0.65
14,0.0,0.01,0.63
15,0.0,0.01,0.6
16,0.0,0.0,0.61
17,0.07,0.19,0.65
18,0.24,0.73,0.59
19,0.28,0.87,0.45
20,0.2,0.81,0.4
21,0.15,0.6,0.3
22,0.12,0.42,0.23
23,0.1,0.33,0.17
