Hour,LED_1,LED_2,USB
0,0.02,0.04,0.18
1,0.02,0.03,0.18
2,0.02,0.03,0.17
3,0.02,0.03,0.16
4,0.01,0.04,0.16
5,0.02,0.07,0.14
6,0.08,0.13,0.09
7,0.08,0.1,0.12
8,0.04,0.07,0.09
9,0.02,0.06,0.08
10,0.02,0.04,0.06
11,0.02,0.02,0.05
12,0.01,0.02,0.05
13,0.01,0.01,0.04
14,0.01,0.01,0.05
15,0.01,0.01,0.06
16,0.02,0.01,0.06
17,0.05,0.02,0.04
18,0.19,0.1,0.07
19,0.2,0.21,0.09
20,0.19,0.26,0.08
21,0.11,0.23,0.1
22,0.07,0.17,0.14
23,0.03,0.09,0.17
