Hour,LED_1,LED_2,USB
0,0.03,0.06,0.42
1,0.03,0.06,0.41
2,0.04,0.06,0.42
3,0.07,0.09,0.41
4,0.08,0.09,0.42
5,0.23,0.23,0.44
6,0.27,0.39,0.43
7,0.19,0.35,0.38
8,0.14,0.26,0.47
9,0.09,0.16,0.49
10,0.06,0.08,0.45
11,0.03,0.04,0.46
12,0.02,0.03,0.44
13,0.02,0.04,0.48
14,0.02,0.02,0.47
15,0.01,0.03,0.51
16,0.02,0.03,0.52
17,0.03,0.13,0.52
18,0.77,0.65,0.54
19,0.94,0.94,0.42
20,0.69,0.77,0.33
21,0.37,0.39,0.31
22,0.17,0.17,0.38
23,0.08,0.07,0.39
