Hour,LED_1,LED_2,USB
0,0.12,0.03,0.67
1,0.09,0.0,0.7
2,0.03,0.03,0.67
3,0.06,0.0,0.61
4,0.06,0.0,0.61
5,0.12,0.0,0.52
6,0.06,0.0,0.24
7,0.0,0.0,0.3
8,0.0,0.0,0.27
9,0.0,0.0,0.27
10,0.0,0.0,0.48
11,0.0,0.0,0.45
12,0.0,0.0,0.5
13,0.0,0.0,0.41
14,0.0,0.0,0.5
15,0.0,0.0,0.53
16,0.0,0.0,0.64
17,0.0,0.0,0.55
18,0.0,0.0,0.55
19,0.58,0.12,0.55
20,0.73,0.18,0.45
21,0.7,0.12,0.42
22,0.42,0.06,0.48
23,0.21,0.03,0.58
