01/03/15    10:26:05,1 days 10:34:59,0.0V,4.8V,12.3V,12.3V,0.0A,0.1A,0.3A,-0.2A,,27.8C,,,,,,,
01/03/15    10:21:07,1 days 10:30:00,0.0V,4.8V,12.3V,12.4V,0.0A,0.1A,0.3A,0.0A,,27.8C,,,,,,,
01/03/15    10:16:08,1 days 10:25:00,0.0V,4.8V,12.4V,12.4V,0.0A,0.1A,0.3A,-0.2A,,27.8C,,,,,,,
01/03/15    10:11:09,1 days 10:20:00,0.0V,4.8V,12.4V,12.4V,0.0A,0.1A,0.3A,-0.2A,,27.8C,,,,,,,
01/03/15    10:06:10,1 days 10:15:00,0.0V,4.8V,12.4V,12.4V,0.0A,0.1A,0.3A,-0.2A,,27.8C,,,,,,,
01/03/15    10:01:11,1 days 10:09:59,0.0V,4.8V,12.4V,12.4V,0.0A,0.1A,0.3A,-0.2A,,27.8C,,,,,,,
01/03/15    09:56:12,1 days 10:04:59,0.0V,4.8V,12.4V,12.4V,0.0A,0.1A,0.3A,-0.2A,,27.8C,,,,,,,
01/03/15    09:51:14,1 days 10:00:00,0.0V,4.8V,12.4V,12.4V,0.0A,0.1A,0.3A,-0.2A,,27.8C,,,,,,,
01/03/15    09:46:15,1 days 09:55:00,0.0V,4.8V,12.4V,12.4V,0.1A,0.1A,0.3A,0.0A,,27.8C,,,,,,,
01/03/15    09:41:16,1 days 09:50:00,0.0V,4.8V,12.4V,12.4V,0.1A,0.1A,0.3A,-0.2A,,27.8C,,,,,,,
01/03/15    09:36:17,1 days 09:44:59,0.0V,4.8V,12.4V,12.5V,0.1A,0.1A,0.3A,0.0A,,27.8C,,,,,,,
01/03/15    09:31:19,1 days 09:40:00,0.0V,4.8V,12.5V,12.5V,0.1A,0.1A,0.3A,-0.2A,,27.7C,,,,,,,
01/03/15    09:26:20,1 days 09:35:00,0.0V,5.2V,12.5V,12.5V,0.0A,0.1A,0.3A,-0.2A,,27.7C,,,,,,,
01/03/15    09:21:21,1 days 09:30:00,0.0V,5.2V,12.5V,12.6V,0.0A,0.1A,0.3A,-0.2A,,27.7C,,,,,,,
01/03/15    09:16:23,1 days 09:25:00,0.0V,5.2V,12.6V,12.6V,0.0A,0.1A,0.3A,-0.2A,,27.7C,,,,,,,
01/03/15    09:11:24,1 days 09:20:00,0.0V,5.2V,12.6V,12.6V,0.0A,0.1A,0.3A,-0.2A,,27.7C,,,,,,,
01/03/15    09:06:25,1 days 09:15:00,0.0V,5.2V,12.6V,12.6V,0.0A,0.1A,0.3A,0.0A,,27.7C,,,,,,,
01/03/15    09:01:26,1 days 09:10:00,0.0V,5.2V,12.6V,12.6V,0.0A,0.1A,0.3A,-0.2A,,27.7C,,,,,,,
01/03/15    08:56:28,1 days 09:05:00,0.0V,5.2V,12.7V,12.8V,0.0A,0.0A,0.3A,-0.2A,,27.8C,,,,,,,
