Time ID V1 V2 V3 I1 I2 I3 I4 O1 O2
2023-12-15 00:09:40 21 12903 4880 0 225 180 32 1 0 1
2023-12-15 00:19:40 21 12903 4880 0 225 153 31 1 0 2
2023-12-15 00:29:40 21 12903 4880 0 225 196 32 2 0 2
2023-12-15 00:39:40 21 12903 4880 0 225 192 32 3 0 3
2023-12-15 00:49:40 21 12903 4880 0 224 204 32 2 0 2
2023-12-15 00:59:40 21 12958 5185 0 220 -20 31 11 0 11
2023-12-15 01:09:40 21 12958 5063 0 223 47 32 5 0 4
2023-12-15 01:19:40 21 12903 4880 0 225 211 32 0 0 0
2023-12-15 01:29:40 21 12903 4880 0 225 229 32 0 0 0
2023-12-15 01:39:40 21 12903 4880 0 225 229 32 0 0 0
2023-12-15 01:49:40 21 12903 4880 0 225 230 32 0 0 0
2023-12-15 01:59:40 21 12903 4880 0 225 177 32 0 0 0
2023-12-15 02:09:40 21 12903 4880 0 225 201 32 0 0 0
2023-12-15 02:19:40 21 12903 4880 0 225 207 32 0 0 0
2023-12-15 02:29:40 21 12903 4880 0 224 193 33 3 0 4
2023-12-15 02:39:40 21 12903 4880 0 225 194 31 3 0 3
2023-12-15 02:49:40 21 12903 4880 0 225 208 33 4 0 4
2023-12-15 02:59:40 21 12903 4880 0 224 196 32 5 0 5
2023-12-15 03:09:40 21 12903 4880 0 225 176 32 5 0 5
2023-12-15 03:19:40 21 12848 4880 0 225 200 32 4 0 4
2023-12-15 03:29:40 21 12848 4880 0 225 302 31 4 0 5
2023-12-15 03:39:40 21 12848 4880 0 224 190 32 4 0 5
2023-12-15 03:49:40 21 12848 4880 0 225 200 32 3 0 4
2023-12-15 03:59:40 21 12848 4880 0 226 247 32 0 0 0
2023-12-15 04:09:40 21 12793 4880 0 225 234 31 3 0 5
2023-12-15 04:19:40 21 12793 4880 0 226 260 32 5 0 4
2023-12-15 04:29:40 21 12738 4819 0 228 476 32 4 0 4
2023-12-15 04:39:40 21 12683 4819 0 229 469 32 1 0 1
2023-12-15 04:49:40 21 12683 4819 0 229 477 32 1 0 1
2023-12-15 04:59:40 21 12738 4880 0 228 349 32 0 0 0
2023-12-15 05:09:40 21 12738 4880 0 228 215 32 1 0 1
2023-12-15 05:19:40 21 12738 4880 0 227 241 31 3 0 2
2023-12-15 05:29:40 21 12738 4880 0 228 239 32 1 0 2
2023-12-15 05:39:40 21 12738 4880 0 227 247 32 4 0 3
2023-12-15 05:49:40 21 12738 4880 0 228 238 32 0 0 0
2023-12-15 05:59:40 21 12683 4880 0 229 310 33 0 0 0
2023-12-15 06:09:40 21 12738 4880 0 229 264 32 0 0 0
2023-12-15 06:19:40 21 12738 4880 0 229 257 32 0 0 0
2023-12-15 06:29:40 21 12683 4880 0 229 255 32 0 0 0
2023-12-15 06:39:40 21 12683 4880 0 229 260 33 0 0 0
2023-12-15 06:49:40 21 12683 4880 0 229 263 32 0 0 0
2023-12-15 06:59:40 21 12683 4880 0 229 261 32 0 0 0
2023-12-15 07:09:40 21 12683 4880 0 229 262 32 0 0 0
2023-12-15 07:19:40 21 12683 4880 0 229 262 32 0 0 0
2023-12-15 07:29:40 21 12683 4880 0 229 261 32 0 0 0
2023-12-15 07:39:40 21 12793 4880 0 110 263 32 0 0 0
2023-12-15 07:49:40 21 12848 4880 0 -2 270 32 0 0 0
2023-12-15 07:59:40 21 12848 4880 0 -2 271 32 0 0 1
2023-12-15 08:09:40 21 12848 4880 0 -2 271 32 0 0 0
2023-12-15 08:19:40 21 12848 4880 0 -2 268 32 0 0 0
2023-12-15 08:29:40 21 12848 4880 0 -2 268 32 0 0 0
