Time ID V1 V2 V3 I1 I2 I3 I4 O1 O2
2023-08-27 00:02:47 21 12903 4880 0 225 159 27 0 0 0
2023-08-27 00:12:47 21 12903 4880 0 225 162 26 0 0 0
2023-08-27 00:22:47 21 12903 4880 0 225 158 26 0 0 0
2023-08-27 00:32:47 21 12903 4880 0 225 165 26 0 0 0
2023-08-27 00:42:47 21 12903 4880 0 225 165 26 0 0 0
2023-08-27 00:52:47 21 12903 4880 0 225 165 26 0 0 0
2023-08-27 01:02:47 21 12903 4880 0 225 164 26 0 0 0
2023-08-27 01:12:47 21 12903 4880 0 225 165 27 0 0 0
2023-08-27 01:22:47 21 12903 4880 0 225 161 26 0 0 0
2023-08-27 01:32:47 21 12903 4880 0 225 167 26 0 0 0
2023-08-27 01:42:47 21 12903 4880 0 225 165 27 0 0 0
2023-08-27 01:52:47 21 12903 4880 0 225 166 27 0 0 0
2023-08-27 02:02:47 21 12903 4880 0 195 190 27 0 0 0
2023-08-27 02:12:47 21 13013 4880 0 -2 258 27 0 0 0
2023-08-27 02:22:47 21 13013 4880 0 -2 261 27 0 0 0
2023-08-27 02:32:47 21 13013 4880 0 -2 263 27 0 0 0
2023-08-27 02:42:47 21 13013 4880 0 -2 264 28 0 0 0
2023-08-27 02:52:47 21 13013 4880 0 -2 265 27 0 0 0
2023-08-27 03:02:47 21 13013 4880 0 -3 265 27 0 0 0
2023-08-27 03:12:47 21 13013 4880 0 -2 265 26 0 0 0
2023-08-27 03:22:47 21 13013 4880 0 -2 265 28 0 0 0
2023-08-27 03:32:47 21 13013 4880 0 -2 265 27 0 0 0
2023-08-27 03:42:47 21 13013 4880 0 -2 265 27 0 0 0
2023-08-27 03:52:47 21 13013 4880 0 -2 266 28 0 0 0
2023-08-27 04:02:47 21 13013 4880 0 -2 266 27 0 0 0
2023-08-27 04:12:47 21 13013 4880 0 -2 266 27 0 0 0
2023-08-27 04:22:47 21 13013 4880 0 -2 266 27 0 0 0
2023-08-27 04:32:47 21 13013 4880 0 -2 266 27 0 0 0
2023-08-27 04:42:47 21 13013 4880 0 -2 266 27 0 0 0
2023-08-27 04:52:47 21 13013 4880 0 -2 266 27 0 0 0
2023-08-27 05:02:47 21 13013 4880 0 -2 267 27 0 0 0
2023-08-27 05:12:47 21 13013 4880 0 -2 267 27 0 0 0
2023-08-27 05:22:47 21 13013 4880 0 -2 267 27 0 0 0
2023-08-27 05:32:47 21 12958 4880 0 -2 267 27 0 0 0
2023-08-27 05:42:47 21 12958 4880 0 -2 268 27 0 0 0
2023-08-27 05:52:47 21 12958 4880 0 -2 268 28 0 0 0
2023-08-27 06:02:47 21 12958 4880 0 -2 268 27 0 0 0
2023-08-27 06:12:47 21 12958 4880 0 -2 268 27 0 0 0
2023-08-27 06:22:47 21 12958 4880 0 -2 268 28 0 0 0
2023-08-27 06:32:47 21 12958 4880 0 -2 268 27 0 0 0
2023-08-27 06:42:47 21 12958 4880 0 -2 268 27 0 0 0
2023-08-27 06:52:47 21 12958 4880 0 -2 269 28 0 0 0
2023-08-27 07:02:47 21 12958 4880 0 -2 269 27 0 0 0
2023-08-27 07:12:47 21 12958 4880 0 -2 269 27 0 0 0
2023-08-27 07:22:47 21 12958 4880 0 -2 269 28 0 0 1
2023-08-27 07:32:47 21 12903 4880 0 -2 269 28 0 0 0
2023-08-27 07:42:47 21 12903 4880 0 -2 269 28 0 0 0
2023-08-27 07:52:47 21 12903 4880 0 -2 268 28 0 0 0
2023-08-27 08:02:47 21 12903 4880 0 -2 256 28 0 0 0
2023-08-27 08:12:47 21 12903 4880 0 -2 248 27 0 0 0
2023-08-27 08:22:47 21 12903 4880 0 -2 249 28 0 0 0
2023-08-27 08:32:47 21 12903 4880 0 -2 239 28 0 0 0
2023-08-27 08:42:47 21 12903 4880 0 -2 214 28 0 0 0
2023-08-27 08:52:47 21 12903 4880 0 -2 191 28 0 0 0
2023-08-27 09:02:47 21 12903 4880 0 -2 171 28 0 0 0
2023-08-27 09:12:47 21 12958 4880 0 -2 168 27 0 0 1
2023-08-27 09:22:47 21 12958 4880 0 -2 143 28 0 0 1
2023-08-27 09:32:47 21 12958 4880 0 -2 118 28 0 0 0
2023-08-27 09:42:47 21 12958 4880 0 -2 87 27 0 0 0
2023-08-27 09:52:47 21 12958 4880 0 -2 80 27 0 0 0
2023-08-27 10:02:47 21 12958 4880 0 -2 77 28 0 0 0
2023-08-27 10:12:47 21 12958 5002 0 -2 38 28 0 0 0
2023-08-27 10:22:47 21 13013 5185 0 -2 -1 27 0 0 0
2023-08-27 10:32:47 21 13013 5185 165 -2 -1 28 0 110 0
2023-08-27 10:42:47 21 12958 4941 2475 37 96 27 1 2101 2
2023-08-27 10:52:47 21 12903 4880 8712 -2 146 27 3 7898 3
2023-08-27 11:02:47 21 12903 4880 12155 -2 152 28 3 12364 4
2023-08-27 11:12:47 21 12903 4880 12958 -7 152 26 7 15488 9
2023-08-27 11:22:47 21 12903 4880 13442 -15 155 25 12 16885 15
2023-08-27 11:32:47 21 12903 4880 13497 -9 153 26 18 17853 21
2023-08-27 11:42:47 21 12903 4880 13497 -6 145 26 25 18436 27
2023-08-27 11:52:47 21 12958 4880 13651 -3 145 28 32 18920 34
2023-08-27 12:02:47 21 12958 4880 13816 -2 149 28 45 19459 48
2023-08-27 12:12:47 21 12958 4880 14091 -2 165 28 55 19789 59
2023-08-27 12:22:47 21 12958 4880 14575 -2 156 27 88 20273 92
2023-08-27 12:32:47 21 13013 4880 14784 -2 161 27 110 20537 118
2023-08-27 12:42:47 21 13068 4880 15004 -2 162 27 157 20856 166
2023-08-27 12:52:47 21 13167 4880 15378 -2 157 27 256 21186 269
2023-08-27 13:02:47 21 13222 4880 15543 -3 157 28 255 21186 293
2023-08-27 13:12:47 21 13332 4880 15917 -2 158 27 389 21505 414
2023-08-27 13:22:47 21 13387 4880 15807 -2 160 27 430 21340 455
2023-08-27 13:32:47 21 13497 4880 15917 -3 155 27 466 21285 500
2023-08-27 13:42:47 21 13497 4880 16027 -2 163 28 508 21285 552
2023-08-27 13:52:47 21 13552 4880 15917 -3 158 28 556 21241 602
2023-08-27 14:02:47 21 13607 4880 16027 -2 158 28 590 21241 647
2023-08-27 14:12:47 21 13651 4880 15807 -3 158 27 646 21241 697
2023-08-27 14:22:47 21 13706 4880 15752 -3 159 28 701 21285 735
2023-08-27 14:32:47 21 13706 4880 15972 -2 160 29 716 21285 765
2023-08-27 14:42:47 21 13761 4880 15697 -2 161 27 791 21186 824
2023-08-27 14:52:47 21 13761 4880 15862 -3 150 27 814 21186 867
2023-08-27 15:02:47 21 13816 4880 15488 -2 152 27 877 21021 907
2023-08-27 15:12:47 21 13816 4880 15543 -2 138 27 901 20966 943
2023-08-27 15:22:47 21 13761 4880 15917 -3 162 27 883 20801 983
2023-08-27 15:32:47 21 13816 4880 15543 -2 253 26 951 20702 1017
2023-08-27 15:42:47 21 13816 4880 15378 -2 383 28 994 20757 1046
2023-08-27 15:52:47 21 13816 4880 15642 -2 361 27 976 20702 1073
2023-08-27 16:02:47 21 13871 4880 15642 -2 356 27 1004 20702 1093
2023-08-27 16:12:47 21 13926 4880 15488 -5 320 24 1054 20757 1114
