Time ID V1 V2 V3 I1 I2 I3 I4 O1 O2
2024-01-13 00:09:40 21 12848 4819 0 226 497 33 0 0 0
2024-01-13 00:19:40 21 12793 4819 0 226 598 34 0 0 0
2024-01-13 00:29:40 21 12793 4819 0 226 608 33 0 0 0
2024-01-13 00:39:40 21 12793 4819 0 226 596 33 0 0 0
2024-01-13 00:49:40 21 12793 4819 0 226 569 33 0 0 0
2024-01-13 00:59:40 21 12903 4880 0 225 323 34 0 0 0
2024-01-13 01:09:40 21 12848 4819 0 226 468 33 0 0 0
2024-01-13 01:19:40 21 12903 4880 0 225 333 33 0 0 0
2024-01-13 01:29:40 21 12903 4880 0 225 205 33 0 0 0
2024-01-13 01:39:40 21 12958 5185 0 224 2 34 0 0 0
2024-01-13 01:49:40 21 12958 5185 0 224 -2 33 0 0 0
2024-01-13 01:59:40 21 12958 5185 0 224 -2 33 0 0 0
2024-01-13 02:09:40 21 12958 5185 0 224 -2 33 0 0 0
2024-01-13 02:19:40 21 12958 5185 0 224 -2 34 0 0 0
2024-01-13 02:29:40 21 12958 5185 0 224 -2 33 0 0 0
2024-01-13 02:39:40 21 12958 5185 0 224 -1 34 0 0 0
2024-01-13 02:49:40 21 12958 5185 0 224 -2 33 0 0 0
2024-01-13 02:59:40 21 13068 5185 0 66 -1 34 0 0 0
2024-01-13 03:09:40 21 13167 5246 0 -2 -1 33 0 0 0
2024-01-13 03:19:40 21 13167 5246 0 -2 -1 35 0 0 0
2024-01-13 03:29:40 21 13167 5246 0 -2 -1 33 0 0 1
2024-01-13 03:39:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-13 03:49:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-13 03:59:40 21 13167 5246 0 -2 -1 35 0 0 0
2024-01-13 04:09:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-13 04:19:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-13 04:29:40 21 13167 5246 0 -2 -1 33 0 0 0
2024-01-13 04:39:40 21 13167 5246 0 -2 -1 33 0 0 0
2024-01-13 04:49:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-13 04:59:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-13 05:09:40 21 13167 5246 0 -2 -1 34 0 0 0
