Time ID V1 V2 V3 I1 I2 I3 I4 O1 O2
2024-01-23 00:09:40 21 12793 4819 0 228 602 35 0 0 0
2024-01-23 00:19:40 21 12848 4819 0 226 546 35 0 0 0
2024-01-23 00:29:40 21 12958 4880 0 225 147 35 0 0 0
2024-01-23 00:39:40 21 12958 4880 0 225 114 36 0 0 0
2024-01-23 00:49:40 21 12958 4880 0 224 67 35 0 0 0
2024-01-23 00:59:40 21 12848 4819 0 226 489 36 0 0 0
2024-01-23 01:09:40 21 12848 4819 0 226 447 35 0 0 0
2024-01-23 01:19:40 21 12848 4819 0 225 331 35 0 0 0
2024-01-23 01:29:40 21 12903 4819 0 225 277 36 1 0 1
2024-01-23 01:39:40 21 12848 4819 0 226 387 36 0 0 0
2024-01-23 01:49:40 21 12848 4819 0 226 345 35 0 0 0
2024-01-23 01:59:40 21 12848 4819 0 226 336 36 0 0 0
2024-01-23 02:09:40 21 12903 4880 0 225 161 36 0 0 0
2024-01-23 02:19:40 21 12903 4880 0 225 119 36 0 0 0
2024-01-23 02:29:40 21 12903 4880 0 226 288 36 0 0 0
2024-01-23 02:39:40 21 12903 4941 0 225 220 35 0 0 0
2024-01-23 02:49:40 21 12903 5063 0 225 100 35 0 0 0
2024-01-23 02:59:40 21 12958 5185 0 224 -2 36 0 0 0
2024-01-23 03:09:40 21 12903 5002 0 225 131 35 0 0 0
2024-01-23 03:19:40 21 12848 4880 0 226 249 35 0 0 0
2024-01-23 03:29:40 21 12848 4880 0 226 250 35 0 0 0
2024-01-23 03:39:40 21 12738 4819 0 228 594 35 0 0 0
2024-01-23 03:49:40 21 12738 4819 0 228 547 35 0 0 0
2024-01-23 03:59:40 21 12738 4819 0 228 526 35 0 0 1
2024-01-23 04:09:40 21 12738 4819 0 229 517 35 0 0 0
2024-01-23 04:19:40 21 12738 4819 0 229 502 35 0 0 0
2024-01-23 04:29:40 21 12848 4880 0 226 82 35 0 0 0
2024-01-23 04:39:40 21 12848 4880 0 226 76 35 0 0 0
2024-01-23 04:49:40 21 12848 4880 0 226 76 36 0 0 0
2024-01-23 04:59:40 21 12848 4880 0 226 75 36 0 0 0
2024-01-23 05:09:40 21 12793 4880 0 226 75 35 0 0 0
2024-01-23 05:19:40 21 12793 4880 0 226 75 35 0 0 0
2024-01-23 05:29:40 21 12793 4880 0 227 75 35 0 0 0
2024-01-23 05:39:40 21 12793 4880 0 228 75 35 0 0 0
2024-01-23 05:49:40 21 12793 4880 0 228 75 35 0 0 0
2024-01-23 05:59:40 21 12793 4880 0 228 75 36 0 0 0
2024-01-23 06:09:40 21 12793 4880 0 228 75 35 0 0 0
2024-01-23 06:19:40 21 12793 4880 0 228 75 36 0 0 0
2024-01-23 06:29:40 21 12793 4880 0 228 75 35 0 0 0
2024-01-23 06:39:40 21 12738 4880 0 228 131 35 0 0 0
2024-01-23 06:49:40 21 12639 4819 0 230 426 35 0 0 0
2024-01-23 06:59:40 21 12639 4819 0 230 392 35 0 0 0
2024-01-23 07:09:40 21 12639 4819 0 230 371 35 0 0 0
2024-01-23 07:19:40 21 12639 4819 0 230 356 35 0 0 0
2024-01-23 07:29:40 21 12639 4819 0 230 347 35 0 0 0
2024-01-23 07:39:40 21 12639 4880 0 230 343 36 0 0 0
2024-01-23 07:49:40 21 12738 4880 0 229 89 35 0 0 0
2024-01-23 07:59:40 21 12738 4880 0 229 63 36 0 0 0
2024-01-23 08:09:40 21 12738 4880 0 228 36 36 0 0 0
2024-01-23 08:19:40 21 12738 4880 0 229 50 36 0 0 0
2024-01-23 08:29:40 21 12738 4880 0 228 28 36 0 0 0
2024-01-23 08:39:40 21 12683 4880 0 229 95 35 0 0 0
2024-01-23 08:49:40 21 12639 4880 0 230 319 36 0 0 1
2024-01-23 08:59:40 21 12639 4880 0 230 308 35 0 0 0
2024-01-23 09:09:40 21 12584 4880 0 230 313 35 0 0 0
2024-01-23 09:19:40 21 12584 4880 0 231 319 36 0 0 0
2024-01-23 09:29:40 21 12584 4819 0 231 328 35 0 0 0
2024-01-23 09:39:40 21 12584 4819 0 231 331 35 0 0 1
2024-01-23 09:49:40 21 12584 4819 0 231 331 34 0 0 0
2024-01-23 09:59:40 21 12584 4819 55 231 330 34 0 55 0
2024-01-23 10:09:40 21 12639 4819 1133 188 297 35 0 858 1
2024-01-23 10:19:40 21 12793 4880 6721 -2 231 35 3 6127 3
2024-01-23 10:29:40 21 12793 4880 12419 -3 231 36 4 13926 5
2024-01-23 10:39:40 21 12793 4880 13068 -2 233 35 8 16236 11
2024-01-23 10:49:40 21 12903 5124 13442 -2 49 36 13 17259 15
2024-01-23 10:59:40 21 12958 5185 13442 -3 -2 36 15 17578 18
2024-01-23 11:09:40 21 12848 4941 13387 -3 197 36 18 17853 21
2024-01-23 11:19:40 21 12793 4880 13442 -2 253 36 19 17908 21
2024-01-23 11:29:40 21 12793 4880 13497 -3 265 35 27 18491 30
2024-01-23 11:39:40 21 12848 4880 14135 -3 262 34 66 19789 71
2024-01-23 11:49:40 21 12848 4880 14135 -2 278 36 66 19789 69
2024-01-23 11:59:40 21 12848 4880 13981 -3 262 36 59 19569 62
2024-01-23 12:09:40 21 12848 4880 13651 -3 266 35 41 19140 44
2024-01-23 12:19:40 21 12848 4880 14036 -3 268 36 64 19734 68
2024-01-23 12:29:40 21 12848 4880 14036 -3 208 35 63 19569 64
2024-01-23 12:39:40 21 12848 4880 13926 -3 289 35 59 19624 64
2024-01-23 12:49:40 21 12848 4880 14410 -2 285 35 82 20053 87
2024-01-23 12:59:40 21 12848 4880 14520 -3 319 36 101 20328 107
2024-01-23 13:09:40 21 12903 4880 14729 -3 284 35 115 20427 121
