Time ID V1 V2 V3 I1 I2 I3 I4 O1 O2
2023-08-17 00:02:47 21 12958 5185 0 224 -2 27 0 0 0
2023-08-17 00:12:47 21 12903 4941 0 225 198 26 0 0 0
2023-08-17 00:22:47 21 12903 4880 0 225 234 27 0 0 0
2023-08-17 00:32:47 21 12903 4880 0 225 235 26 0 0 0
2023-08-17 00:42:47 21 12903 4880 0 225 235 26 0 0 0
2023-08-17 00:52:47 21 12903 4880 0 225 235 27 0 0 0
2023-08-17 01:02:47 21 12958 4880 0 134 235 28 0 0 0
2023-08-17 01:12:47 21 13068 4880 0 -2 236 26 0 0 0
2023-08-17 01:22:47 21 13068 4880 0 -2 237 26 0 0 0
2023-08-17 01:32:47 21 13068 4880 0 -2 237 27 0 0 0
2023-08-17 01:42:47 21 13068 4880 0 -2 237 27 0 0 0
2023-08-17 01:52:47 21 13068 4880 0 -2 238 27 0 0 0
2023-08-17 02:02:47 21 13068 4880 0 -2 238 27 0 0 0
2023-08-17 02:12:47 21 13068 4880 0 -2 238 27 0 0 0
2023-08-17 02:22:47 21 13068 4880 0 -2 238 27 0 0 0
2023-08-17 02:32:47 21 13068 4880 0 -2 238 27 0 0 0
2023-08-17 02:42:47 21 13068 4880 0 -2 238 27 0 0 0
2023-08-17 02:52:47 21 13068 4880 0 -2 238 27 0 0 0
2023-08-17 03:02:47 21 13068 4880 0 -2 238 28 0 0 0
2023-08-17 03:12:47 21 13068 4880 0 -2 238 27 0 0 0
2023-08-17 03:22:47 21 13068 4880 0 -2 239 27 0 0 0
2023-08-17 03:32:47 21 13068 4880 0 -2 239 27 0 0 0
2023-08-17 03:42:47 21 13068 4880 0 -2 239 27 0 0 0
2023-08-17 03:52:47 21 13068 4880 0 -2 239 26 0 0 0
2023-08-17 04:02:47 21 13068 4880 0 -2 239 26 0 0 0
2023-08-17 04:12:47 21 13068 4880 0 -2 239 27 0 0 0
2023-08-17 04:22:47 21 13013 4880 0 -2 239 26 0 0 0
2023-08-17 04:32:47 21 13013 4880 0 -2 239 27 0 0 0
2023-08-17 04:42:47 21 13013 4880 0 -2 239 26 0 0 0
2023-08-17 04:52:47 21 13013 4880 0 -2 239 27 0 0 0
2023-08-17 05:02:47 21 13013 4880 0 -2 239 26 0 0 0
2023-08-17 05:12:47 21 13013 4880 0 -2 239 26 0 0 0
2023-08-17 05:22:47 21 13013 4880 0 -2 239 26 0 0 0
2023-08-17 05:32:47 21 13013 4880 0 -2 239 26 0 0 0
2023-08-17 05:42:47 21 13013 4880 0 -2 239 28 0 0 0
2023-08-17 05:52:47 21 13013 4880 0 -2 239 26 0 0 0
2023-08-17 06:02:47 21 13013 4880 0 -2 239 26 0 0 0
2023-08-17 06:12:47 21 13013 4880 0 -2 218 27 0 0 0
2023-08-17 06:22:47 21 13013 4880 0 -2 223 26 0 0 0
2023-08-17 06:32:47 21 13013 4880 0 -2 223 26 0 0 0
2023-08-17 06:42:47 21 13013 4880 0 -2 223 27 0 0 0
2023-08-17 06:52:47 21 13013 4880 0 -2 223 27 0 0 0
2023-08-17 07:02:47 21 13013 4880 0 -2 222 27 0 0 0
2023-08-17 07:12:47 21 13013 4880 0 -2 222 27 0 0 0
2023-08-17 07:22:47 21 13013 4880 0 -2 221 27 0 0 0
2023-08-17 07:32:47 21 13013 4880 0 -2 221 27 0 0 0
2023-08-17 07:42:47 21 13013 4880 0 -2 220 27 0 0 0
2023-08-17 07:52:47 21 13013 4880 0 -2 224 27 0 0 0
2023-08-17 08:02:47 21 13013 4880 0 -2 224 28 0 0 0
2023-08-17 08:12:47 21 13013 4880 0 -2 224 26 0 0 0
2023-08-17 08:22:47 21 13013 4880 0 -2 224 26 0 0 0
2023-08-17 08:32:47 21 13013 4880 0 -2 224 26 0 0 0
2023-08-17 08:42:47 21 13013 4880 0 -2 223 26 0 0 0
2023-08-17 08:52:47 21 13013 4880 0 -2 210 26 0 0 1
2023-08-17 09:02:47 21 13013 4880 0 -2 184 26 0 0 0
2023-08-17 09:12:47 21 13013 4880 0 -2 161 26 0 0 0
2023-08-17 09:22:47 21 13013 4880 0 -2 145 26 0 0 0
2023-08-17 09:32:47 21 13013 4880 0 -2 102 26 0 0 0
2023-08-17 09:42:47 21 13013 4880 0 -2 76 26 0 0 1
2023-08-17 09:52:47 21 13013 4880 0 -2 66 26 0 0 0
2023-08-17 10:02:47 21 13068 4880 0 -2 53 27 0 0 0
2023-08-17 10:12:47 21 13068 4880 0 -2 51 27 0 0 0
2023-08-17 10:22:47 21 13068 4880 0 -2 48 26 0 0 0
2023-08-17 10:32:47 21 13068 5063 110 -2 18 28 0 55 0
2023-08-17 10:42:47 21 13068 5185 1452 -2 -1 27 1 1133 2
2023-08-17 10:52:47 21 13068 5185 8866 -2 -2 29 3 8338 3
2023-08-17 11:02:47 21 13068 5185 13167 -2 -1 28 4 14190 6
2023-08-17 11:12:47 21 13123 5185 14949 -2 -1 28 6 16610 11
2023-08-17 11:22:47 21 13123 5185 13607 -2 -2 29 15 17688 18
2023-08-17 11:32:47 21 13123 5185 13871 -2 -1 27 23 18436 27
2023-08-17 11:42:47 21 13123 5185 13871 -2 -2 28 37 19085 40
2023-08-17 11:52:47 21 13167 5185 14245 -3 -1 28 53 19624 58
2023-08-17 12:02:47 21 13167 5185 14894 -2 -2 27 76 20053 86
2023-08-17 12:12:47 21 13222 5185 14949 -3 -2 27 109 20372 119
2023-08-17 12:22:47 21 13277 5185 15103 -2 -1 28 148 20592 162
2023-08-17 12:32:47 21 13332 5185 15323 -3 -1 27 189 20757 208
2023-08-17 12:42:47 21 13387 5185 15378 -2 -2 27 238 20856 257
2023-08-17 12:52:47 21 13442 5185 15642 -2 -1 28 283 20966 309
2023-08-17 13:02:47 21 13497 5185 15587 -3 -1 28 335 21021 362
2023-08-17 13:12:47 21 13552 5185 15807 -2 -1 28 376 21021 415
2023-08-17 13:22:47 21 13552 5185 15697 -3 -1 28 433 21131 468
2023-08-17 13:32:47 21 13607 5185 15807 -2 -1 28 480 21131 523
2023-08-17 13:42:47 21 13607 5246 15862 -2 -1 28 518 21021 573
2023-08-17 13:52:47 21 13651 5246 15697 -2 -1 27 574 21131 622
2023-08-17 14:02:47 21 13651 5246 15807 -2 -1 27 617 21076 671
2023-08-17 14:12:47 21 13706 5246 16027 -2 -1 27 643 21021 720
2023-08-17 14:22:47 21 13706 5246 16291 -2 -1 27 632 20911 765
2023-08-17 14:32:47 21 13761 5246 15917 -2 -1 28 728 20966 809
2023-08-17 14:42:47 21 13761 5246 15917 -2 -1 28 765 20911 853
2023-08-17 14:52:47 21 13816 5246 15807 -2 -1 29 811 20911 895
2023-08-17 15:02:47 21 13816 5246 16027 -3 -1 28 809 20801 935
