Time ID V1 V2 V3 I1 I2 I3 I4 O1 O2
2023-12-05 00:09:40 21 12793 5185 0 228 -2 31 0 0 0
2023-12-05 00:19:40 21 12793 5185 0 228 -2 30 0 0 0
2023-12-05 00:29:40 21 12793 5185 0 228 -2 31 0 0 0
2023-12-05 00:39:40 21 12793 5185 0 228 -2 31 0 0 0
2023-12-05 00:49:40 21 12793 5185 0 228 -2 31 0 0 0
2023-12-05 00:59:40 21 12793 5185 0 228 -2 31 0 0 0
2023-12-05 01:09:40 21 12793 5185 0 228 -1 31 0 0 0
2023-12-05 01:19:40 21 12793 5185 0 228 -2 30 0 0 0
2023-12-05 01:29:40 21 12793 5185 0 228 -2 29 0 0 0
2023-12-05 01:39:40 21 12793 5185 0 228 -2 31 0 0 0
2023-12-05 01:49:40 21 12793 5185 0 228 -2 31 0 0 0
2023-12-05 01:59:40 21 12793 5185 0 228 -2 30 0 0 0
2023-12-05 02:09:40 21 12793 5185 0 228 -2 31 0 0 0
2023-12-05 02:19:40 21 12793 5185 0 228 -2 30 0 0 0
2023-12-05 02:29:40 21 12793 5185 0 228 -2 31 0 0 0
2023-12-05 02:39:40 21 12793 5185 0 228 -1 30 0 0 0
2023-12-05 02:49:40 21 12793 5185 0 228 -2 31 0 0 1
2023-12-05 02:59:40 21 12793 5185 0 228 -2 30 0 0 0
2023-12-05 03:09:40 21 12793 5185 0 228 -2 31 0 0 0
2023-12-05 03:19:40 21 12958 5246 0 17 -1 31 0 0 0
2023-12-05 03:29:40 21 12958 5246 0 -2 -1 31 0 0 0
2023-12-05 03:39:40 21 12958 5246 0 -2 -2 30 0 0 0
2023-12-05 03:49:40 21 12958 5246 0 -2 -1 31 0 0 0
2023-12-05 03:59:40 21 12958 5185 0 -2 -1 31 0 0 0
2023-12-05 04:09:40 21 12958 5185 0 -2 -1 31 0 0 0
2023-12-05 04:19:40 21 12958 5185 0 -2 -1 30 0 0 1
2023-12-05 04:29:40 21 12958 5185 0 -2 -1 31 0 0 0
2023-12-05 04:39:40 21 12958 5185 0 -2 -1 31 0 0 0
2023-12-05 04:49:40 21 12958 5185 0 -2 -1 31 0 0 0
2023-12-05 04:59:40 21 12958 5185 0 -2 -1 31 0 0 0
2023-12-05 05:09:40 21 12958 5185 0 -2 -1 31 0 0 1
2023-12-05 05:19:40 21 12958 5185 0 -2 -2 31 0 0 0
2023-12-05 05:29:40 21 12958 5185 0 -2 -1 31 0 0 0
2023-12-05 05:39:40 21 12958 5185 0 -2 -1 30 0 0 0
2023-12-05 05:49:40 21 12958 5185 0 -2 -2 31 0 0 0
2023-12-05 05:59:40 21 12958 5185 0 -2 -1 30 0 0 0
2023-12-05 06:09:40 21 12958 5185 0 -2 -1 30 0 0 0
2023-12-05 06:19:40 21 12958 5185 0 -2 -1 30 0 0 0
2023-12-05 06:29:40 21 12958 5185 0 -2 -1 30 0 0 0
2023-12-05 06:39:40 21 12958 5185 0 -2 -1 30 0 0 0
2023-12-05 06:49:40 21 12958 5185 0 -2 -1 30 0 0 0
2023-12-05 06:59:40 21 12958 5185 0 -2 -2 30 0 0 0
2023-12-05 07:09:40 21 12958 5185 0 -2 -1 30 0 0 0
2023-12-05 07:19:40 21 12958 5185 0 -2 -2 30 0 0 0
2023-12-05 07:29:40 21 12958 5185 0 -2 -1 31 0 0 1
2023-12-05 07:39:40 21 12958 5185 0 -2 -2 30 0 0 1
2023-12-05 07:49:40 21 12958 5185 0 -2 -1 30 0 0 0
2023-12-05 07:59:40 21 12958 5185 0 -2 -2 30 0 0 0
2023-12-05 08:09:40 21 12958 5185 0 -2 -1 30 0 0 0
2023-12-05 08:19:40 21 12958 5185 0 -2 -1 30 0 0 0
2023-12-05 08:29:40 21 12958 5185 0 -2 -1 30 0 0 0
2023-12-05 08:39:40 21 12958 5185 0 -2 -2 30 0 0 0
2023-12-05 08:49:40 21 12958 5185 0 -2 -2 30 0 0 0
2023-12-05 08:59:40 21 12958 5185 0 -2 -2 30 0 0 0
2023-12-05 09:09:40 21 12958 5185 0 -2 -2 30 0 0 0
2023-12-05 09:19:40 21 12958 5185 0 -2 -1 30 0 0 0
2023-12-05 09:29:40 21 12958 5185 0 -2 -1 30 0 0 0
2023-12-05 09:39:40 21 12958 5185 429 -2 -1 30 0 319 1
2023-12-05 09:49:40 21 12958 5185 4301 -2 -2 30 2 3762 2
2023-12-05 09:59:40 21 12958 5185 12419 -2 -1 30 3 12584 4
2023-12-05 10:09:40 21 12958 5185 13552 -3 -2 30 5 15059 7
2023-12-05 10:19:40 21 12958 5185 13761 -2 -1 30 18 17853 21
2023-12-05 10:29:40 21 13013 5185 13761 -2 -1 30 36 18975 40
2023-12-05 10:39:40 21 13013 5185 14036 -3 -2 30 59 19569 62
2023-12-05 10:49:40 21 13013 5185 14135 -2 -1 30 61 19624 65
2023-12-05 10:59:40 21 13068 5185 14520 -2 -1 30 83 19998 89
2023-12-05 11:09:40 21 13068 5185 14674 -2 -2 30 105 20218 113
2023-12-05 11:19:40 21 13123 5185 15103 -3 -2 31 144 20537 157
2023-12-05 11:29:40 21 13167 5124 15103 -2 35 31 169 20592 183
2023-12-05 11:39:40 21 13123 4880 14839 -2 212 30 178 20537 189
2023-12-05 11:49:40 21 13123 4880 15004 -3 221 31 178 20592 194
2023-12-05 11:59:40 21 13123 4880 14894 -3 223 31 188 20592 201
2023-12-05 12:09:40 21 13068 4880 14784 -2 222 31 172 20427 180
2023-12-05 12:19:40 21 13068 4880 14949 -2 223 30 166 20482 180
2023-12-05 12:29:40 21 13068 4880 14729 -3 224 30 166 20372 176
2023-12-05 12:39:40 21 13068 4880 15433 -3 225 30 171 20537 199
2023-12-05 12:49:40 21 13222 4880 15543 -3 228 31 303 20911 322
2023-12-05 12:59:40 21 13167 4880 15103 -3 228 30 260 20647 277
2023-12-05 13:09:40 21 13167 4880 15059 -3 227 30 221 20592 237
2023-12-05 13:19:40 21 13123 4880 15158 -2 225 31 207 20537 225
2023-12-05 13:29:40 21 13167 4880 15059 -2 225 30 217 20592 234
2023-12-05 13:39:40 21 13167 4880 15103 -2 186 31 234 20647 251
2023-12-05 13:49:40 21 13277 4880 15543 -2 168 30 345 21021 375
2023-12-05 13:59:40 21 13332 4880 15433 -2 173 31 401 21021 431
2023-12-05 14:09:40 21 13387 4880 15433 -3 170 30 446 20966 472
2023-12-05 14:19:40 21 13387 4880 15543 -3 170 30 431 20856 471
2023-12-05 14:29:40 21 13387 4880 15378 -3 171 31 448 20801 472
2023-12-05 14:39:40 21 13387 4880 15323 -3 171 30 426 20801 466
2023-12-05 14:49:40 21 13387 4880 15433 -2 173 30 428 20757 464
2023-12-05 14:59:40 21 13332 4880 15378 -3 173 30 407 20757 443
2023-12-05 15:09:40 21 13497 4880 15587 -2 172 30 557 21021 604
2023-12-05 15:19:40 21 13552 4880 15697 -3 173 30 668 20856 732
