Time ID V1 V2 V3 I1 I2 I3 I4 O1 O2
2024-01-16 00:09:40 21 12958 5185 0 225 -2 34 0 0 0
2024-01-16 00:19:40 21 12958 5185 0 224 -2 35 0 0 0
2024-01-16 00:29:40 21 12958 5002 0 224 83 34 2 0 3
2024-01-16 00:39:40 21 12903 4880 0 225 172 34 0 0 0
2024-01-16 00:49:40 21 12903 4880 0 225 202 34 0 0 0
2024-01-16 00:59:40 21 12903 4880 0 225 192 33 0 0 0
2024-01-16 01:09:40 21 12903 4880 0 225 225 34 0 0 0
2024-01-16 01:19:40 21 12903 4880 0 226 272 34 1 0 1
2024-01-16 01:29:40 21 12903 4880 0 225 252 32 5 0 6
2024-01-16 01:39:40 21 12903 4880 0 226 288 33 2 0 3
2024-01-16 01:49:40 21 12903 4880 0 225 242 34 2 0 1
2024-01-16 01:59:40 21 12903 4880 0 225 229 35 2 0 0
2024-01-16 02:09:40 21 12793 4819 0 226 616 34 9 0 7
2024-01-16 02:19:40 21 12793 4819 0 226 587 34 11 0 12
2024-01-16 02:29:40 21 12793 4819 0 225 578 34 11 0 11
2024-01-16 02:39:40 21 12793 4819 0 227 585 34 6 0 7
2024-01-16 02:49:40 21 12793 4819 0 226 477 34 7 0 7
2024-01-16 02:59:40 21 12903 4880 0 188 213 34 2 0 2
2024-01-16 03:09:40 21 13123 5246 0 -2 -1 34 0 0 0
2024-01-16 03:19:40 21 13167 5246 0 -2 -1 35 0 0 0
2024-01-16 03:29:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-16 03:39:40 21 13167 5246 0 -2 -1 33 0 0 0
2024-01-16 03:49:40 21 13167 5246 0 -2 -1 33 0 0 0
2024-01-16 03:59:40 21 13167 5246 0 -2 -1 33 0 0 0
2024-01-16 04:09:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-16 04:19:40 21 13167 5246 0 -2 -1 35 0 0 0
2024-01-16 04:29:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-16 04:39:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-16 04:49:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-16 04:59:40 21 13167 5246 0 -2 -1 33 0 0 0
2024-01-16 05:09:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-16 05:19:40 21 13167 5246 0 -2 -1 33 0 0 0
2024-01-16 05:29:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-16 05:39:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-16 05:49:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-16 05:59:40 21 13167 5246 0 -2 -1 33 0 0 0
2024-01-16 06:09:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-16 06:19:40 21 13167 5246 0 -2 -1 33 0 0 0
2024-01-16 06:29:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-16 06:39:40 21 13167 5246 0 -2 -1 33 0 0 0
2024-01-16 06:49:40 21 13167 5246 0 -2 -1 33 0 0 0
2024-01-16 06:59:40 21 13167 5246 0 -2 -1 33 0 0 0
2024-01-16 07:09:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-16 07:19:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-16 07:29:40 21 13167 5246 0 -2 -1 33 0 0 0
2024-01-16 07:39:40 21 13167 5246 0 -2 -1 34 0 0 0
2024-01-16 07:49:40 21 13167 5246 0 -2 -1 33 0 0 0
2024-01-16 07:59:40 21 13167 5246 0 -2 -1 35 0 0 0
2024-01-16 08:09:40 21 13167 5246 0 -2 -1 33 0 0 0
2024-01-16 08:19:40 21 13123 5246 0 -2 -2 33 0 0 0
2024-01-16 08:29:40 21 13123 5246 0 -2 -1 34 0 0 0
2024-01-16 08:39:40 21 13123 5246 0 -2 -1 35 0 0 0
2024-01-16 08:49:40 21 13123 5246 0 -2 -1 34 0 0 0
2024-01-16 08:59:40 21 13123 5246 0 -2 -1 33 0 0 0
2024-01-16 09:09:40 21 13123 5246 0 -2 -1 34 0 0 0
2024-01-16 09:19:40 21 13123 5246 0 -2 -1 33 0 0 0
2024-01-16 09:29:40 21 13123 5246 0 -2 -1 34 0 0 0
2024-01-16 09:39:40 21 13123 5246 0 -2 -1 33 0 0 0
2024-01-16 09:49:40 21 13123 5246 0 -2 -1 34 0 0 0
2024-01-16 09:59:40 21 13123 5246 429 -2 -1 35 0 374 0
2024-01-16 10:09:40 21 13123 5246 3388 -2 -1 33 1 2739 2
2024-01-16 10:19:40 21 13123 5246 11242 -2 -2 35 3 11242 4
2024-01-16 10:29:40 21 13123 5185 14465 -2 -1 36 6 16181 10
2024-01-16 10:39:40 21 13167 5185 14036 -2 -1 36 19 18117 23
2024-01-16 10:49:40 21 13167 5185 13926 -2 -1 36 35 18975 38
2024-01-16 10:59:40 21 13167 5185 14190 -2 -1 35 47 19404 51
2024-01-16 11:09:40 21 13222 5185 14355 -2 -1 35 59 19679 64
2024-01-16 11:19:40 21 13222 5185 14520 -2 -1 36 70 19789 75
2024-01-16 11:29:40 21 13222 5185 14674 -3 -1 36 77 19888 82
2024-01-16 11:39:40 21 13222 5185 14674 -2 -1 35 83 19943 88
2024-01-16 11:49:40 21 13222 5185 14575 -2 -2 35 87 19943 91
2024-01-16 11:59:40 21 13222 5185 14575 -2 -1 35 86 19888 91
2024-01-16 12:09:40 21 13222 5185 14520 -3 -1 35 84 19789 89
2024-01-16 12:19:40 21 13222 5185 14520 -2 -2 36 85 19734 91
2024-01-16 12:29:40 21 13277 5185 14729 -3 -1 35 98 19888 107
2024-01-16 12:39:40 21 13277 5185 14894 -2 -1 35 132 20218 146
2024-01-16 12:49:40 21 13332 5185 15103 -2 -2 35 174 20372 193
2024-01-16 12:59:40 21 13387 5185 15213 -2 -1 35 214 20482 238
2024-01-16 13:09:40 21 13332 4941 15268 -3 169 35 259 20592 288
2024-01-16 13:19:40 21 13387 4880 15268 -2 216 35 336 20757 366
2024-01-16 13:29:40 21 13442 4880 15488 -2 222 35 415 20801 452
2024-01-16 13:39:40 21 13497 4880 15697 -3 232 35 481 20801 535
2024-01-16 13:49:40 21 13497 4880 15378 -3 233 35 454 20537 496
2024-01-16 13:59:40 21 13497 4880 15543 -3 233 35 460 20702 513
2024-01-16 14:09:40 21 13552 4880 15433 -3 227 35 556 20757 604
2024-01-16 14:19:40 21 13607 4880 15642 -2 216 35 593 20702 669
2024-01-16 14:29:40 21 13607 4880 15543 -2 210 35 644 20702 716
2024-01-16 14:39:40 21 13651 4880 15543 -3 215 35 673 20647 753
2024-01-16 14:49:40 21 13706 4880 15642 -2 214 35 761 20647 843
2024-01-16 14:59:40 21 13706 4880 15697 -2 220 35 753 20592 844
2024-01-16 15:09:40 21 13706 4880 15752 -2 210 35 766 20702 862
2024-01-16 15:19:40 21 13761 4880 15642 -2 211 35 833 20537 935
2024-01-16 15:29:40 21 13706 4880 15433 -3 205 35 692 20053 769
2024-01-16 15:39:40 21 13761 4880 15642 -3 218 35 813 20592 934
2024-01-16 15:49:40 21 13816 4880 16027 -2 213 36 806 20427 913
2024-01-16 15:59:40 21 13607 4880 15433 -2 218 36 461 19789 534
2024-01-16 16:09:40 21 13651 4880 15807 -2 215 35 511 20537 612
2024-01-16 16:19:40 21 13926 4880 16984 -2 215 36 468 20537 734
2024-01-16 16:29:40 21 14190 4880 20108 -3 200 36 157 20482 1252
2024-01-16 16:39:40 21 14245 4880 19679 -2 217 36 132 19998 1141
2024-01-16 16:49:40 21 14245 4880 19734 -2 200 36 121 19998 1205
2024-01-16 16:59:40 21 14245 4880 19404 -2 199 36 126 19679 1117
2024-01-16 17:09:40 21 14245 4880 19195 -2 198 36 125 19734 937
2024-01-16 17:19:40 21 14245 4880 19459 -2 211 36 130 20163 603
2024-01-16 17:29:40 21 14245 4880 19459 -2 223 36 129 20053 819
2024-01-16 17:39:40 21 14245 4880 18282 -2 229 35 146 19998 403
2024-01-16 17:49:40 21 14245 4880 20218 -3 230 36 128 20537 994
2024-01-16 17:59:40 21 14245 4880 17952 -2 229 35 144 19624 561
2024-01-16 18:09:40 21 14245 4880 19844 -2 229 36 131 20163 1041
2024-01-16 18:19:40 21 14245 4880 19514 -2 227 36 136 20163 1034
2024-01-16 18:29:40 21 14245 4880 19679 -2 183 36 115 20108 974
2024-01-16 18:39:40 21 14245 4880 19844 -2 185 36 117 20108 1118
