"Variable 1","Variable 2","Type","Method","Correlation","abs_corr"
"cooking_time_min_d","light_3_night","Numerical–Categorical","Correlation ratio (η)","0.07786621499472562","0.07786621499472562"
"children_0_5","cooking_metal","Numerical–Categorical","Correlation ratio (η)","0.07737765560742704","0.07737765560742704"
"fam_members","mant_freq","Numerical–Categorical","Correlation ratio (η)","0.07720864810531608","0.07720864810531608"
"children_0_5","tech_problems_USB","Numerical–Categorical","Correlation ratio (η)","0.07700488339135189","0.07700488339135189"
"cooking_time_min_d","occupation","Numerical–Categorical","Correlation ratio (η)","0.0768283082393623","0.0768283082393623"
"illum_burner","tech_problems_battery","Categorical–Categorical","Cramér’s V","0.07681381593724253","0.07681381593724253"
"children_in_school","quality","Categorical–Categorical","Cramér’s V","0.07681145747868606","0.07681145747868606"
"phone_2_time","tech_problems_radio","Numerical–Categorical","Correlation ratio (η)","0.07672094306150279","0.07672094306150279"
"children_0_5","wakeup_time_after","Numerical–Numerical","Pearson","-0.07654080491793462","0.07654080491793462"
"children_5_17","mat_wall","Numerical–Categorical","Correlation ratio (η)","0.0765057422461463","0.0765057422461463"
"children_5_17","newly_acq_tablet","Numerical–Categorical","Correlation ratio (η)","0.0765057422461463","0.0765057422461463"
"children_5_17","newly_acq_flashlight","Numerical–Categorical","Correlation ratio (η)","0.0765057422461463","0.0765057422461463"
"fam_head_age","wo_activity","Numerical–Numerical","Pearson","-0.07645961566475641","0.07645961566475641"
"pv_before","Light_2_night","Categorical–Categorical","Cramér’s V","0.07616027696880717","0.07616027696880717"
"portability_shs","radio_morning","Categorical–Categorical","Cramér’s V","0.07595545253127524","0.07595545253127524"
"rooms","cooking_freq","Numerical–Categorical","Correlation ratio (η)","0.07594186357821311","0.07594186357821311"
"monthly_income","phones","Numerical–Numerical","Pearson","0.07590421252089152","0.07590421252089152"
"adults_18_59","newly_acq_radio","Numerical–Categorical","Correlation ratio (η)","0.07588055427792376","0.07588055427792376"
"radio_time","children_in_school","Numerical–Categorical","Correlation ratio (η)","0.07545850046628033","0.07545850046628033"
"cooking_time_min_d","cooking_metal","Numerical–Categorical","Correlation ratio (η)","0.07539463193051602","0.07539463193051602"
"illum_burner","cooking_gas","Categorical–Categorical","Cramér’s V","0.07536946036396677","0.07536946036396677"
"fam_head_gender","illum_candles","Categorical–Categorical","Cramér’s V","0.07536946036396674","0.07536946036396674"
"phone_1_time","cooking_metal","Numerical–Categorical","Correlation ratio (η)","0.07531038392856519","0.07531038392856519"
"radio_time","illum_solarpv","Numerical–Categorical","Correlation ratio (η)","0.07490309259760371","0.07490309259760371"
"act_dl_agri","tech_problems_battery","Numerical–Categorical","Correlation ratio (η)","0.07489788849113799","0.07489788849113799"
"monthly_income","light_bulbs","Numerical–Numerical","Pearson","0.07488777573121838","0.07488777573121838"
"children_5_17","mat_floor","Numerical–Categorical","Correlation ratio (η)","0.07482281444857102","0.07482281444857102"
"phone_3_time","summer_migration","Numerical–Categorical","Correlation ratio (η)","0.07430266509598803","0.07430266509598803"
"other_app","cooking_rustic","Numerical–Categorical","Correlation ratio (η)","0.07429995455667435","0.07429995455667435"
"other_app","cooking_improved","Numerical–Categorical","Correlation ratio (η)","0.07429995455667435","0.07429995455667435"
"summer_migration","desired_app_TV","Categorical–Categorical","Cramér’s V","0.07416198487095661","0.07416198487095661"
"fam_head_age","cooking_gas","Numerical–Categorical","Correlation ratio (η)","0.07371729073074355","0.07371729073074355"
"light_bulb_2_time","eco_support","Numerical–Categorical","Correlation ratio (η)","0.07366145057404433","0.07366145057404433"
"wakeup_time_after","demand_satisfaction","Numerical–Categorical","Correlation ratio (η)","0.07342123582803935","0.07342123582803935"
"children_5_17","rooms","Numerical–Numerical","Pearson","0.07326697605765217","0.07326697605765217"
"cooking_time_min_d","cooking_male","Numerical–Categorical","Correlation ratio (η)","0.07324833500288179","0.07324833500288179"
"cooking_time_min_d","cooking_female","Numerical–Categorical","Correlation ratio (η)","0.07324833500288179","0.07324833500288179"
"fam_head_age","act_agriculture","Numerical–Numerical","Pearson","-0.07324599827259128","0.07324599827259128"
"phone_3_time","before_phone","Numerical–Categorical","Correlation ratio (η)","0.07313805115815174","0.07313805115815174"
"sleep_time_after","mant_capacity","Numerical–Categorical","Correlation ratio (η)","0.07312756091046235","0.07312756091046235"
"wakeup_time_after","phone_1_time","Numerical–Numerical","Pearson","-0.07282960985943784","0.07282960985943784"
"phone_1_time","before_phone","Numerical–Categorical","Correlation ratio (η)","0.07256089686226215","0.07256089686226215"
"sleep_time_after","before_phone","Numerical–Categorical","Correlation ratio (η)","0.07239768752947161","0.07239768752947161"
"act_agriculture","desired_app_fridge","Numerical–Categorical","Correlation ratio (η)","0.07238762858018567","0.07238762858018567"
"act_agriculture","wakeup_time_after","Numerical–Numerical","Pearson","-0.07233816966118994","0.07233816966118994"
"radios","illum_burner","Numerical–Categorical","Correlation ratio (η)","0.07222501328138727","0.07222501328138727"
"monthly_exp_illum_before","newly_acq_flashlight","Numerical–Categorical","Correlation ratio (η)","0.07215141538358096","0.07215141538358096"
"act_dl_agri","monthly_exp_illum_before","Numerical–Numerical","Pearson","-0.0718176243698801","0.0718176243698801"
"phone_2_time","children_in_school","Numerical–Categorical","Correlation ratio (η)","0.07172861950089804","0.07172861950089804"
"monthly_income","phone_2_time","Numerical–Numerical","Pearson","0.07154279251913506","0.07154279251913506"
"phone_3_time","cooking_female","Numerical–Categorical","Correlation ratio (η)","0.0714857829486996","0.0714857829486996"
"phone_3_time","cooking_male","Numerical–Categorical","Correlation ratio (η)","0.0714857829486996","0.0714857829486996"
"phone_3_time","desired_app_fridge","Numerical–Categorical","Correlation ratio (η)","0.0714857829486996","0.0714857829486996"
"adults_18_59","eco_support","Numerical–Categorical","Correlation ratio (η)","0.07142012297052627","0.07142012297052627"
"monthly_exp_illum_before","portability_shs","Numerical–Categorical","Correlation ratio (η)","0.07130682825702819","0.07130682825702819"
"wo_activity","accessibility","Numerical–Categorical","Correlation ratio (η)","0.07130558710298937","0.07130558710298937"
"adults_mas_60","light_bulb_2_time","Numerical–Numerical","Pearson","-0.07125500473387994","0.07125500473387994"
"sleep_time_before","illum_candles","Numerical–Categorical","Correlation ratio (η)","0.07107988689420049","0.07107988689420049"
"wo_activity","desired_app_TV","Numerical–Categorical","Correlation ratio (η)","0.07107908217491016","0.07107908217491016"
