"Variable 1","Variable 2","Type","Method","Correlation","abs_corr"
"family_type","light_3_night","Categorical–Categorical","Cramér’s V","inf","inf"
"light_1_morning","light_3_night","Categorical–Categorical","Cramér’s V","inf","inf"
"cooking_fuel_biomass","quality","Categorical–Categorical","Cramér’s V","0.9901475429766743","0.9901475429766743"
"cooking_rustic","quality","Categorical–Categorical","Cramér’s V","0.9899494936611665","0.9899494936611665"
"cooking_improved","quality","Categorical–Categorical","Cramér’s V","0.9899494936611665","0.9899494936611665"
"phone_1_time","mant_capacity","Numerical–Categorical","Correlation ratio (η)","0.9612683236658233","0.9612683236658233"
"importance_night","importance_allday","Categorical–Categorical","Cramér’s V","0.9606953585900478","0.9606953585900478"
"fam_members","family_type","Numerical–Categorical","Correlation ratio (η)","0.9369172592160772","0.9369172592160772"
"cooking_metal","cooking_fuel_gas","Categorical–Categorical","Cramér’s V","0.9198164391900252","0.9198164391900252"
"newly_acq_flashlight","Light_2_night","Categorical–Categorical","Cramér’s V","0.8991721961325718","0.8991721961325718"
"newly_acq_flashlight","light_1_night","Categorical–Categorical","Cramér’s V","0.8897565210026092","0.8897565210026092"
"mat_wall","light_1_morning","Categorical–Categorical","Cramér’s V","0.8831760866327847","0.8831760866327847"
"desired_app_phone","light_1_morning","Categorical–Categorical","Cramér’s V","0.8831760866327845","0.8831760866327845"
"fam_head_gender","occupation","Categorical–Categorical","Cramér’s V","0.8790970390010622","0.8790970390010622"
"children_5_17","family_type","Numerical–Categorical","Correlation ratio (η)","0.8786618778562474","0.8786618778562474"
"sleep_time_after","radio_morning","Numerical–Categorical","Correlation ratio (η)","0.8733280604024671","0.8733280604024671"
"wakeup_time_after","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.8725331054460901","0.8725331054460901"
"radio_night","tech_problems_USB","Categorical–Categorical","Cramér’s V","0.8717797887081349","0.8717797887081349"
"newly_acq_flashlight","radio_night","Categorical–Categorical","Cramér’s V","0.8717797887081349","0.8717797887081349"
"cooking_male","cooking_female","Categorical–Categorical","Cramér’s V","0.8619328824023864","0.8619328824023864"
"desired_app_radio","radio_morning","Categorical–Categorical","Cramér’s V","0.8320502943378438","0.8320502943378438"
"desired_app_laptop","radio_morning","Categorical–Categorical","Cramér’s V","0.8320502943378438","0.8320502943378438"
"mat_wall","radio_morning","Categorical–Categorical","Cramér’s V","0.8320502943378438","0.8320502943378438"
"cooking_improved","radio_morning","Categorical–Categorical","Cramér’s V","0.8320502943378437","0.8320502943378437"
"newly_acq_flashlight","radio_morning","Categorical–Categorical","Cramér’s V","0.8320502943378437","0.8320502943378437"
"cooking_fuel_biomass","radio_morning","Categorical–Categorical","Cramér’s V","0.8320502943378435","0.8320502943378435"
"cooking_rustic","radio_morning","Categorical–Categorical","Cramér’s V","0.8320502943378435","0.8320502943378435"
"children_5_17","fam_members","Numerical–Numerical","Pearson","0.8270191138157181","0.8270191138157181"
"children_0_5","family_type","Numerical–Categorical","Correlation ratio (η)","0.7958405577514841","0.7958405577514841"
"adults_18_59","family_type","Numerical–Categorical","Correlation ratio (η)","0.7773727786003904","0.7773727786003904"
"light_bulb_1_time","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.7662193602135822","0.7662193602135822"
"adults_18_59","act_agriculture","Numerical–Numerical","Pearson","0.7659814844835648","0.7659814844835648"
"phone_1_time","demand_satisfaction","Numerical–Categorical","Correlation ratio (η)","0.7589740510706455","0.7589740510706455"
"light_bulb_1_time","light_1_night","Numerical–Categorical","Correlation ratio (η)","0.7186084933451737","0.7186084933451737"
"phone_1_time","other_illum","Numerical–Categorical","Correlation ratio (η)","0.7158042426226097","0.7158042426226097"
"phone_2_time","family_type","Numerical–Categorical","Correlation ratio (η)","0.7075119209578823","0.7075119209578823"
"act_dl_agri","family_type","Numerical–Categorical","Correlation ratio (η)","0.701016526192927","0.701016526192927"
"phone_1_time","accessibility","Numerical–Categorical","Correlation ratio (η)","0.6923727096555544","0.6923727096555544"
"cooking_fuel_biomass","demand_satisfaction","Categorical–Categorical","Cramér’s V","0.6788109558083828","0.6788109558083828"
"inst_difficulty","mant_difficulty","Categorical–Categorical","Cramér’s V","0.6788027027374727","0.6788027027374727"
"cooking_rustic","demand_satisfaction","Categorical–Categorical","Cramér’s V","0.6782329983125268","0.6782329983125268"
"cooking_improved","demand_satisfaction","Categorical–Categorical","Cramér’s V","0.6782329983125267","0.6782329983125267"
"children_in_school","family_type","Categorical–Categorical","Cramér’s V","0.677063033883738","0.677063033883738"
"cooking_time_min_d","light_1_night","Numerical–Categorical","Correlation ratio (η)","0.671513647256391","0.671513647256391"
"radios","radio_time","Numerical–Numerical","Pearson","0.6711851756662714","0.6711851756662714"
"light_bulb_1_time","light_bulb_2_time","Numerical–Numerical","Pearson","0.6670644509802042","0.6670644509802042"
"act_agriculture","family_type","Numerical–Categorical","Correlation ratio (η)","0.6647149122008356","0.6647149122008356"
"food_pres_trofa","radio_morning","Categorical–Categorical","Cramér’s V","0.6632524754223285","0.6632524754223285"
"light_1_night","radio_night","Categorical–Categorical","Cramér’s V","0.6589193806126604","0.6589193806126604"
"light_1_morning","tech_problems_LED","Categorical–Categorical","Cramér’s V","0.6529931086925802","0.6529931086925802"
"cooking_time_min_d","radio_night","Numerical–Categorical","Correlation ratio (η)","0.6476800727418263","0.6476800727418263"
"monthly_fuel_exp","cooking_gas","Numerical–Categorical","Correlation ratio (η)","0.6471751271745122","0.6471751271745122"
"phone_1_time","family_type","Numerical–Categorical","Correlation ratio (η)","0.6455135173072396","0.6455135173072396"
"mant_capacity","mant_freq","Categorical–Categorical","Cramér’s V","0.6451268231023872","0.6451268231023872"
"newly_acq_radio","light_1_morning","Categorical–Categorical","Cramér’s V","0.643250673199359","0.643250673199359"
"before_phone","light_1_morning","Categorical–Categorical","Cramér’s V","0.6375158039981229","0.6375158039981229"
"family_type","illum_flashlight","Categorical–Categorical","Cramér’s V","0.6344754891089777","0.6344754891089777"
"cooking_time_min_d","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.6344711427443938","0.6344711427443938"
"children_5_17","children_in_school","Numerical–Categorical","Correlation ratio (η)","0.6331618735177038","0.6331618735177038"
"light_bulbs","demand_satisfaction","Numerical–Categorical","Correlation ratio (η)","0.6249173077186461","0.6249173077186461"
"phones","phone_2_time","Numerical–Numerical","Pearson","0.6242655449876264","0.6242655449876264"
"fam_head_age","light_1_night","Numerical–Categorical","Correlation ratio (η)","0.6206811883748411","0.6206811883748411"
"light_bulb_2_time","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.6204880231231168","0.6204880231231168"
"radios","radio_morning","Numerical–Categorical","Correlation ratio (η)","0.619980786706822","0.619980786706822"
"wo_activity","eco_support","Numerical–Categorical","Correlation ratio (η)","0.618570515035847","0.618570515035847"
"monthly_income","light_1_night","Numerical–Categorical","Correlation ratio (η)","0.6109399881082207","0.6109399881082207"
"cooking_freq","radio_night","Categorical–Categorical","Cramér’s V","0.6083974979632562","0.6083974979632562"
"adults_18_59","fam_members","Numerical–Numerical","Pearson","0.6083029270938111","0.6083029270938111"
"fam_head_age","family_type","Numerical–Categorical","Correlation ratio (η)","0.6076912738472875","0.6076912738472875"
"phone_3_time","radio_morning","Numerical–Categorical","Correlation ratio (η)","0.6033513011539969","0.6033513011539969"
"monthly_income","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.6021781534895375","0.6021781534895375"
"Light_2_night","radio_night","Categorical–Categorical","Cramér’s V","0.5993525129206251","0.5993525129206251"
"mant_capacity","inst_difficulty","Categorical–Categorical","Cramér’s V","0.5941202648594157","0.5941202648594157"
"transport_car","mant_difficulty","Categorical–Categorical","Cramér’s V","0.5870576446999834","0.5870576446999834"
"water_source","illum_solarpv","Categorical–Categorical","Cramér’s V","0.5838932325270446","0.5838932325270446"
"cooking_time_min_d","radio_morning","Numerical–Categorical","Correlation ratio (η)","0.582881651129166","0.582881651129166"
"light_bulb_1_time","radio_morning","Numerical–Categorical","Correlation ratio (η)","0.578231854705093","0.578231854705093"
"monthly_income","family_type","Numerical–Categorical","Correlation ratio (η)","0.5779558697473971","0.5779558697473971"
"illum_solarpv","light_1_night","Categorical–Categorical","Cramér’s V","0.5758469282640781","0.5758469282640781"
"sleep_time_after","light_1_night","Numerical–Categorical","Correlation ratio (η)","0.5753011457185186","0.5753011457185186"
"children_5_17","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.5752583357499604","0.5752583357499604"
"before_radio","light_1_morning","Categorical–Categorical","Cramér’s V","0.5708486121143289","0.5708486121143289"
"monthly_income","radio_morning","Numerical–Categorical","Correlation ratio (η)","0.5653166970906225","0.5653166970906225"
"fam_members","children_in_school","Numerical–Categorical","Correlation ratio (η)","0.5651527282912534","0.5651527282912534"
"light_bulb_2_time","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.5631623303533664","0.5631623303533664"
"radio_morning","quality","Categorical–Categorical","Cramér’s V","0.560399017507641","0.560399017507641"
"desired_app_radio","quality","Categorical–Categorical","Cramér’s V","0.5596796815331824","0.5596796815331824"
"transport_car","light_1_night","Categorical–Categorical","Cramér’s V","0.5595990007734705","0.5595990007734705"
"cooking_time_min_d","newly_acq_flashlight","Numerical–Categorical","Correlation ratio (η)","0.5566428614499964","0.5566428614499964"
"food_pres_trofa","mant_difficulty","Categorical–Categorical","Cramér’s V","0.5502340842436332","0.5502340842436332"
"light_bulbs","family_type","Numerical–Categorical","Correlation ratio (η)","0.5495534640820463","0.5495534640820463"
"act_agriculture","fam_members","Numerical–Numerical","Pearson","0.5482115496892631","0.5482115496892631"
"quality","demand_satisfaction","Categorical–Categorical","Cramér’s V","0.543927045498174","0.543927045498174"
"phone_1_time","illum_candles","Numerical–Categorical","Correlation ratio (η)","0.5424441833837125","0.5424441833837125"
"sleep_time_before","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.5414264252815394","0.5414264252815394"
"act_agriculture","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.5404627246824919","0.5404627246824919"
"pv_before","illum_flashlight","Categorical–Categorical","Cramér’s V","0.5379623014821537","0.5379623014821537"
"phone_1_time","newly_acq_phone","Numerical–Categorical","Correlation ratio (η)","0.536953665506284","0.536953665506284"
"children_0_5","light_1_night","Numerical–Categorical","Correlation ratio (η)","0.5366905355470897","0.5366905355470897"
"light_bulb_1_time","radio_night","Numerical–Categorical","Correlation ratio (η)","0.5364156502396897","0.5364156502396897"
"transport_car","light_1_morning","Categorical–Categorical","Cramér’s V","0.5361769430754313","0.5361769430754313"
"fam_members","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.5359896877734842","0.5359896877734842"
"monthly_fuel_exp","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.5344506267389949","0.5344506267389949"
"monthly_income","mant_freq","Numerical–Categorical","Correlation ratio (η)","0.5341227566310673","0.5341227566310673"
"phones","phone_3_time","Numerical–Numerical","Pearson","0.5327251702713691","0.5327251702713691"
"act_dl_agri","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.5312478416306802","0.5312478416306802"
"light_bulb_2_time","radio_night","Numerical–Categorical","Correlation ratio (η)","0.5309709780641683","0.5309709780641683"
"radios","radio_night","Numerical–Categorical","Correlation ratio (η)","0.5301933365368889","0.5301933365368889"
"newly_acq_phone","radio_morning","Categorical–Categorical","Cramér’s V","0.5289265673129563","0.5289265673129563"
"phone_1_time","newly_acq_radio","Numerical–Categorical","Correlation ratio (η)","0.5285257041535083","0.5285257041535083"
"water_source","pv_before","Categorical–Categorical","Cramér’s V","0.5283514734559804","0.5283514734559804"
"tech_problems_battery","demand_satisfaction","Categorical–Categorical","Cramér’s V","0.528293421413208","0.528293421413208"
"phones","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.528124521292805","0.528124521292805"
"light_bulb_2_time","radio_morning","Numerical–Categorical","Correlation ratio (η)","0.527729716745854","0.527729716745854"
"light_bulbs","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.5269532320193658","0.5269532320193658"
"desired_app_blender","inst_difficulty","Categorical–Categorical","Cramér’s V","0.5234474000045993","0.5234474000045993"
"light_bulbs","light_3_night","Numerical–Categorical","Correlation ratio (η)","0.5205073217397759","0.5205073217397759"
"newly_acq_radio","accessibility","Categorical–Categorical","Cramér’s V","0.5179261086490696","0.5179261086490696"
"radios","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.5162929296435296","0.5162929296435296"
"rooms","light_1_night","Numerical–Categorical","Correlation ratio (η)","0.5123286251567823","0.5123286251567823"
"other_app","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.5108367340029385","0.5108367340029385"
"family_type","winter_migration","Categorical–Categorical","Cramér’s V","0.5106203751728656","0.5106203751728656"
"monthly_income","radio_night","Numerical–Categorical","Correlation ratio (η)","0.5104822173683482","0.5104822173683482"
"migration","summer_migration","Categorical–Categorical","Cramér’s V","0.5094783097916418","0.5094783097916418"
"wakeup_time_after","desired_app_phone","Numerical–Categorical","Correlation ratio (η)","0.5073508202029676","0.5073508202029676"
"cooking_time_min_d","family_type","Numerical–Categorical","Correlation ratio (η)","0.5062664980098517","0.5062664980098517"
"adults_18_59","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.5057621093770875","0.5057621093770875"
"fam_head_age","occupation","Numerical–Categorical","Correlation ratio (η)","0.5044810918535586","0.5044810918535586"
"sleep_time_after","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.5035476613941392","0.5035476613941392"
"children_5_17","radio_morning","Numerical–Categorical","Correlation ratio (η)","0.5017805303240723","0.5017805303240723"
"transport_motorcycle","radio_morning","Categorical–Categorical","Cramér’s V","0.5005491489848429","0.5005491489848429"
"monthly_fuel_exp","radio_morning","Numerical–Categorical","Correlation ratio (η)","0.49814572215696107","0.49814572215696107"
"phone_3_time","transport_motorcycle","Numerical–Categorical","Correlation ratio (η)","0.4945274417676805","0.4945274417676805"
"fam_head_age","cooking_freq","Numerical–Categorical","Correlation ratio (η)","0.49298869891496844","0.49298869891496844"
"phone_3_time","family_type","Numerical–Categorical","Correlation ratio (η)","0.48949663317807207","0.48949663317807207"
"radio_time","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.48840597056799095","0.48840597056799095"
"light_1_night","Light_2_night","Categorical–Categorical","Cramér’s V","0.4881746553722627","0.4881746553722627"
"light_bulb_1_time","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.48797980287869447","0.48797980287869447"
"radios","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.4873032438412063","0.4873032438412063"
"family_type","pv_before","Categorical–Categorical","Cramér’s V","0.48600141718077877","0.48600141718077877"
"other_illum","desired_app_laptop","Categorical–Categorical","Cramér’s V","0.48577195241790394","0.48577195241790394"
"children_0_5","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.48357923693468574","0.48357923693468574"
"adults_18_59","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.4833064390737131","0.4833064390737131"
"adults_mas_60","light_1_night","Numerical–Categorical","Correlation ratio (η)","0.4803115620087699","0.4803115620087699"
"act_dl_agri","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.47901351101994827","0.47901351101994827"
"illum_solarpv","mat_roof","Categorical–Categorical","Cramér’s V","0.47870138416090713","0.47870138416090713"
"radios","tech_problems_radio","Numerical–Categorical","Correlation ratio (η)","0.47548317559909375","0.47548317559909375"
"migration","spring_migration","Categorical–Categorical","Cramér’s V","0.4754680530024777","0.4754680530024777"
"phones","family_type","Numerical–Categorical","Correlation ratio (η)","0.47503451237217625","0.47503451237217625"
"cooking_rustic","cooking_improved","Categorical–Categorical","Cramér’s V","0.474444980177561","0.474444980177561"
"cooking_rustic","cooking_fuel_biomass","Categorical–Categorical","Cramér’s V","0.474444980177561","0.474444980177561"
"cooking_improved","cooking_fuel_biomass","Categorical–Categorical","Cramér’s V","0.474444980177561","0.474444980177561"
"phone_2_time","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.474138553888098","0.474138553888098"
"light_bulbs","tech_problems_battery","Numerical–Categorical","Correlation ratio (η)","0.47374746856677413","0.47374746856677413"
"desired_app_blender","mant_capacity","Categorical–Categorical","Cramér’s V","0.4728005885685605","0.4728005885685605"
"phone_3_time","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.47074992513398783","0.47074992513398783"
"adults_18_59","phone_2_time","Numerical–Numerical","Pearson","0.47054786555100064","0.47054786555100064"
"cooking_time_min_d","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.4685496644608676","0.4685496644608676"
"other_app","light_1_night","Numerical–Categorical","Correlation ratio (η)","0.4682177986719295","0.4682177986719295"
"adults_mas_60","radio_morning","Numerical–Categorical","Correlation ratio (η)","0.4674332018630503","0.4674332018630503"
"food_pres_trofa","light_1_morning","Categorical–Categorical","Cramér’s V","0.4656387579310146","0.4656387579310146"
"phone_1_time","mat_roof","Numerical–Categorical","Correlation ratio (η)","0.4643541810933079","0.4643541810933079"
"fam_members","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.4620077865530628","0.4620077865530628"
"sleep_time_after","radio_night","Numerical–Categorical","Correlation ratio (η)","0.46160615494304635","0.46160615494304635"
"monthly_exp_illum_before","illum_flashlight","Numerical–Categorical","Correlation ratio (η)","0.4613781055864032","0.4613781055864032"
"light_bulb_2_time","light_1_night","Numerical–Categorical","Correlation ratio (η)","0.4574679159407456","0.4574679159407456"
"eco_support","radio_night","Categorical–Categorical","Cramér’s V","0.45643546458763845","0.45643546458763845"
"monthly_exp_illum_before","light_1_night","Numerical–Categorical","Correlation ratio (η)","0.4547115892719544","0.4547115892719544"
"fam_head_age","wakeup_time_after","Numerical–Numerical","Pearson","0.4524114894235843","0.4524114894235843"
"monthly_income","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.45230082410203215","0.45230082410203215"
"adults_mas_60","mat_roof","Numerical–Categorical","Correlation ratio (η)","0.4512116539912802","0.4512116539912802"
"fam_members","radio_morning","Numerical–Categorical","Correlation ratio (η)","0.44834751102305126","0.44834751102305126"
"wakeup_time_after","cooking_freq","Numerical–Categorical","Correlation ratio (η)","0.4464921591428038","0.4464921591428038"
"phone_1_time","community","Numerical–Categorical","Correlation ratio (η)","0.44622131347817373","0.44622131347817373"
"adults_18_59","radio_morning","Numerical–Categorical","Correlation ratio (η)","0.44613136698411626","0.44613136698411626"
"cooking_freq","desired_app_phone","Categorical–Categorical","Cramér’s V","0.44607128559988557","0.44607128559988557"
"desired_app_fridge","radio_night","Categorical–Categorical","Cramér’s V","0.4454211490264019","0.4454211490264019"
"wo_activity","tech_problems_USB","Numerical–Categorical","Correlation ratio (η)","0.44486032063201186","0.44486032063201186"
"light_1_morning","radio_morning","Categorical–Categorical","Cramér’s V","0.44435763041012794","0.44435763041012794"
"wakeup_time_after","light_1_night","Numerical–Categorical","Correlation ratio (η)","0.44407165644270535","0.44407165644270535"
"fam_head_age","pv_before","Numerical–Categorical","Correlation ratio (η)","0.4434572558557797","0.4434572558557797"
"phones","radio_morning","Numerical–Categorical","Correlation ratio (η)","0.4428531056348998","0.4428531056348998"
"adults_18_59","adults_mas_60","Numerical–Numerical","Pearson","-0.4427129719929955","0.4427129719929955"
"sleep_time_after","phone_3_time","Numerical–Numerical","Pearson","-0.4426961706379303","0.4426961706379303"
"radio_time","tech_problems_radio","Numerical–Categorical","Correlation ratio (η)","0.44261083979200444","0.44261083979200444"
"occupation","illum_solarpv","Categorical–Categorical","Cramér’s V","0.4421338450701571","0.4421338450701571"
"pv_before","light_1_night","Categorical–Categorical","Cramér’s V","0.4410987934493756","0.4410987934493756"
"sleep_time_before","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.4410943171642432","0.4410943171642432"
"mant_difficulty","mant_freq","Categorical–Categorical","Cramér’s V","0.44108892031664354","0.44108892031664354"
"radios","light_1_night","Numerical–Categorical","Correlation ratio (η)","0.43896599299445554","0.43896599299445554"
"monthly_fuel_exp","cooking_fuel_gas","Numerical–Categorical","Correlation ratio (η)","0.4389234970314487","0.4389234970314487"
"other_app","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.43800093218422703","0.43800093218422703"
"radio_morning","tech_problems_LED","Categorical–Categorical","Cramér’s V","0.4348025464942333","0.4348025464942333"
"monthly_income","community","Numerical–Categorical","Correlation ratio (η)","0.43290581095525005","0.43290581095525005"
"inst_difficulty","mant_freq","Categorical–Categorical","Cramér’s V","0.43201307169765946","0.43201307169765946"
"rooms","radio_morning","Numerical–Categorical","Correlation ratio (η)","0.43139765111872724","0.43139765111872724"
"illum_solarpv","radio_night","Categorical–Categorical","Cramér’s V","0.43100335136619156","0.43100335136619156"
"monthly_exp_illum_before","illum_candles","Numerical–Categorical","Correlation ratio (η)","0.43099871916569155","0.43099871916569155"
"occupation","cooking_female","Categorical–Categorical","Cramér’s V","0.4297288720948225","0.4297288720948225"
"occupation","cooking_male","Categorical–Categorical","Cramér’s V","0.4297288720948225","0.4297288720948225"
"act_agriculture","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.4291571954058404","0.4291571954058404"
"wakeup_time_after","family_type","Numerical–Categorical","Correlation ratio (η)","0.4287385798769159","0.4287385798769159"
"phone_1_time","desired_app_laptop","Numerical–Categorical","Correlation ratio (η)","0.42673618873748387","0.42673618873748387"
"radio_time","family_type","Numerical–Categorical","Correlation ratio (η)","0.4264463778410435","0.4264463778410435"
"transport_car","food_pres_trofa","Categorical–Categorical","Cramér’s V","0.4261164106645649","0.4261164106645649"
"other_app","tech_problems_PV","Numerical–Categorical","Correlation ratio (η)","0.4254479604505094","0.4254479604505094"
"illum_solarpv","radio_morning","Categorical–Categorical","Cramér’s V","0.42520583250938615","0.42520583250938615"
"pv_before","radio_morning","Categorical–Categorical","Cramér’s V","0.42520583250938615","0.42520583250938615"
"cooking_freq","newly_acq_radio","Categorical–Categorical","Cramér’s V","0.42474742557469","0.42474742557469"
"light_bulbs","light_1_night","Numerical–Categorical","Correlation ratio (η)","0.42277427954769387","0.42277427954769387"
"fam_head_age","children_0_5","Numerical–Numerical","Pearson","-0.4216649566978446","0.4216649566978446"
"monthly_fuel_exp","family_type","Numerical–Categorical","Correlation ratio (η)","0.4201292321298294","0.4201292321298294"
"phone_2_time","phone_3_time","Numerical–Numerical","Pearson","0.420049952878983","0.420049952878983"
"wo_activity","desired_app_laptop","Numerical–Categorical","Correlation ratio (η)","0.4194189668154275","0.4194189668154275"
"desired_app_fridge","light_1_night","Categorical–Categorical","Cramér’s V","0.4185945736261319","0.4185945736261319"
"monthly_income","mant_capacity","Numerical–Categorical","Correlation ratio (η)","0.41745773368669364","0.41745773368669364"
"illum_flashlight","light_1_morning","Categorical–Categorical","Cramér’s V","0.41517038941841006","0.41517038941841006"
"pv_before","illum_candles","Categorical–Categorical","Cramér’s V","0.41391847315076297","0.41391847315076297"
"family_type","energy_saving_measures","Categorical–Categorical","Cramér’s V","0.41372555053903926","0.41372555053903926"
"monthly_exp_illum_before","pv_before","Numerical–Categorical","Correlation ratio (η)","0.4136772931237437","0.4136772931237437"
"adults_18_59","monthly_exp_illum_before","Numerical–Numerical","Pearson","0.413604434850673","0.413604434850673"
"phones","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.4135982593016941","0.4135982593016941"
"monthly_exp_illum_before","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.41135215215232834","0.41135215215232834"
"sleep_time_after","community","Numerical–Categorical","Correlation ratio (η)","0.4107775101910863","0.4107775101910863"
"rooms","family_type","Numerical–Categorical","Correlation ratio (η)","0.4097293212784826","0.4097293212784826"
"family_type","cooking_biomass","Categorical–Categorical","Cramér’s V","0.408248290463863","0.408248290463863"
"family_type","cooking_fuel_biomass","Categorical–Categorical","Cramér’s V","0.408248290463863","0.408248290463863"
"sleep_time_after","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.40754186560340017","0.40754186560340017"
"desired_app_radio","Light_2_night","Categorical–Categorical","Cramér’s V","0.4065452774247433","0.4065452774247433"
"sleep_time_before","light_bulb_2_time","Numerical–Numerical","Pearson","0.4044255445794874","0.4044255445794874"
"family_type","cooking_rustic","Categorical–Categorical","Cramér’s V","0.40406101782088427","0.40406101782088427"
"family_type","cooking_improved","Categorical–Categorical","Cramér’s V","0.40406101782088427","0.40406101782088427"
"mant_capacity","mant_difficulty","Categorical–Categorical","Cramér’s V","0.40333403952125785","0.40333403952125785"
"newly_acq_phone","light_1_morning","Categorical–Categorical","Cramér’s V","0.40227453546647957","0.40227453546647957"
"act_dl_agri","illum_solarpv","Numerical–Categorical","Correlation ratio (η)","0.40128357268813886","0.40128357268813886"
"sleep_time_after","desired_app_radio","Numerical–Categorical","Correlation ratio (η)","0.40124883964085356","0.40124883964085356"
"sleep_time_before","radio_morning","Numerical–Categorical","Correlation ratio (η)","0.40056594150845076","0.40056594150845076"
"adults_18_59","summer_migration","Numerical–Categorical","Correlation ratio (η)","0.40017686259273105","0.40017686259273105"
"children_in_school","mant_capacity","Categorical–Categorical","Cramér’s V","0.39989110015860907","0.39989110015860907"
"fam_members","phones","Numerical–Numerical","Pearson","0.39968598010355927","0.39968598010355927"
"sleep_time_after","family_type","Numerical–Categorical","Correlation ratio (η)","0.39865306275331225","0.39865306275331225"
"monthly_exp_illum_before","tech_problems_PV","Numerical–Categorical","Correlation ratio (η)","0.39861674817687176","0.39861674817687176"
"other_app","radio_morning","Numerical–Categorical","Correlation ratio (η)","0.39843539565377084","0.39843539565377084"
"adults_mas_60","light_1_morning","Numerical–Categorical","Correlation ratio (η)","0.39830829021402603","0.39830829021402603"
"light_bulb_2_time","demand_satisfaction","Numerical–Categorical","Correlation ratio (η)","0.39780792834442397","0.39780792834442397"
"light_bulb_2_time","newly_acq_radio","Numerical–Categorical","Correlation ratio (η)","0.3974336352862157","0.3974336352862157"
"newly_acq_phone","accessibility","Categorical–Categorical","Cramér’s V","0.3970153241748897","0.3970153241748897"
"sleep_time_after","pv_before","Numerical–Categorical","Correlation ratio (η)","0.3964797345491795","0.3964797345491795"
"adults_18_59","act_dl_agri","Numerical–Numerical","Pearson","0.39557902992503385","0.39557902992503385"
"children_0_5","children_5_17","Numerical–Numerical","Pearson","0.39391174285499897","0.39391174285499897"
"light_bulbs","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.39065044997103826","0.39065044997103826"
"desired_app_radio","demand_satisfaction","Categorical–Categorical","Cramér’s V","0.3896034518240343","0.3896034518240343"
"other_app","family_type","Numerical–Categorical","Correlation ratio (η)","0.3891925679932082","0.3891925679932082"
"phones","light_1_night","Numerical–Categorical","Correlation ratio (η)","0.38913247159984643","0.38913247159984643"
"children_in_school","demand_satisfaction","Categorical–Categorical","Cramér’s V","0.38890872965260115","0.38890872965260115"
"rooms","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.3886696529976977","0.3886696529976977"
"fam_head_age","water_source","Numerical–Categorical","Correlation ratio (η)","0.3885354354295782","0.3885354354295782"
"wakeup_time_after","Light_2_night","Numerical–Categorical","Correlation ratio (η)","0.3874478081075094","0.3874478081075094"
"adults_mas_60","importance_allday","Numerical–Categorical","Correlation ratio (η)","0.3868826022697551","0.3868826022697551"
"adults_mas_60","importance_night","Numerical–Categorical","Correlation ratio (η)","0.3868826022697551","0.3868826022697551"
"light_bulb_2_time","quality","Numerical–Categorical","Correlation ratio (η)","0.3865803248221327","0.3865803248221327"
"wo_activity","light_1_night","Numerical–Categorical","Correlation ratio (η)","0.38628811860202517","0.38628811860202517"
"phones","transport_motorcycle","Numerical–Categorical","Correlation ratio (η)","0.3862556102831473","0.3862556102831473"
"cooking_fuel_biomass","mant_capacity","Categorical–Categorical","Cramér’s V","0.38603057889646164","0.38603057889646164"
