Time ID V1 V2 V3 I1 I2 I3 I4 O1 O2
2000-03-25 00:08:15 39 13552 5307 15697 -1 -1 27 398 20757 508
2000-03-25 00:18:15 39 13706 5307 16401 -1 -1 26 661 21021 786
2000-03-25 00:28:15 39 13761 5307 16830 -1 -1 27 800 21285 1019
2000-03-25 00:38:15 39 13552 5246 14674 -1 -1 27 351 20273 347
2000-03-25 00:48:15 39 13651 5307 15752 -1 -1 27 551 21076 663
2000-03-25 00:58:15 39 13552 5246 14894 -1 -1 26 393 20537 415
2000-03-25 01:08:15 39 13552 5246 14784 -1 -1 27 308 20702 318
2000-03-25 01:18:15 39 13497 5246 14784 -1 -1 27 302 20856 317
2000-03-25 01:28:15 39 13706 5307 16071 -1 -1 28 641 20911 672
2000-03-25 01:38:15 39 13497 5246 14575 -1 -1 26 286 20592 302
2000-03-25 01:48:15 39 13651 5307 16720 -1 -1 26 538 21241 789
2000-03-25 01:58:15 39 13816 5307 17633 -1 -1 27 840 20702 1250
2000-03-25 02:08:15 39 13651 5307 15752 -1 -1 28 557 20702 741
2000-03-25 02:18:15 39 13607 5246 14949 -1 -1 27 388 20163 342
2000-03-25 02:28:15 39 13761 5307 16071 -1 -1 26 722 21285 851
2000-03-25 02:38:15 39 13761 5307 15642 -1 -1 27 710 20702 734
2000-03-25 02:48:15 39 13706 5307 15433 -1 -1 27 592 20757 669
2000-03-25 02:58:15 39 13981 5307 15587 -1 -1 28 1060 21131 1095
2000-03-25 03:08:15 39 14036 5307 15323 -1 -1 27 1102 20911 1170
2000-03-25 03:18:15 39 14036 5246 15378 -1 -1 27 924 20427 920
2000-03-25 03:28:15 39 13552 5246 14300 -1 -1 27 198 19943 208
2000-03-25 03:38:15 39 13607 5246 14839 -1 -1 27 259 20537 261
2000-03-25 03:48:15 39 13871 5307 15807 -1 -1 27 463 21076 555
2000-03-25 03:58:15 39 14410 5307 20273 -1 -1 27 351 21186 1077
2000-03-25 04:08:15 39 14410 5246 20218 -1 -1 27 156 20702 803
2000-03-25 04:18:15 39 14410 5307 20163 -1 -1 27 115 20801 724
2000-03-25 04:28:15 39 14410 5307 20647 -1 -1 27 91 20856 875
2000-03-25 04:38:15 39 14410 5307 19404 -1 -1 27 74 19888 327
2000-03-25 04:48:15 39 14410 5307 20218 -1 -1 26 53 20757 443
2000-03-25 04:58:15 39 14410 5307 20911 -1 -1 27 43 21021 702
2000-03-25 05:08:15 39 14410 5307 20702 0 -1 27 41 20856 635
2000-03-25 05:18:15 39 14410 5307 20108 -1 -1 27 41 20218 398
2000-03-25 05:28:15 39 14410 5307 20647 -1 -1 27 39 20856 501
2000-03-25 05:38:15 39 14410 5307 20482 -1 -1 27 37 20592 427
2000-03-25 05:48:15 39 14410 5307 20801 -1 -1 27 36 20911 475
2000-03-25 05:58:15 39 14410 5307 20108 0 -1 27 36 20372 308
2000-03-25 06:08:15 39 14410 5307 19844 -1 -1 27 36 20218 240
2000-03-25 06:18:15 39 14410 5307 19943 -1 -1 27 36 20537 251
2000-03-25 06:28:15 39 14410 5307 20163 -1 -1 27 34 20372 222
2000-03-25 06:38:15 39 14410 5307 19844 -1 -1 27 35 20163 172
2000-03-25 06:48:15 39 14410 5307 19404 -1 -1 26 34 19844 127
2000-03-25 06:58:15 39 14410 5307 18601 -1 -1 28 36 19404 86
2000-03-25 07:08:15 39 14300 5246 14894 0 -1 27 29 18062 37
2000-03-25 07:18:15 39 14135 5246 14729 -1 -1 27 24 17853 31
2000-03-25 07:28:15 39 13981 5246 14520 0 -1 27 20 17578 28
2000-03-25 07:38:15 39 13816 5246 15059 -1 -1 28 13 17204 23
2000-03-25 07:48:15 39 13651 5246 14135 -1 -1 26 12 16500 18
2000-03-25 07:58:15 39 13552 5246 14091 -1 0 26 5 15103 11
2000-03-25 08:08:15 39 13497 5307 12254 -1 -1 27 3 11935 6
2000-03-25 08:18:15 39 13442 5307 7260 0 -1 26 3 6501 3
2000-03-25 08:28:15 39 13332 5307 1232 49 -1 26 0 858 1
2000-03-25 08:38:15 39 13277 5246 110 111 -1 27 0 55 0
2000-03-25 08:48:15 39 13167 5246 0 274 -1 26 0 0 0
2000-03-25 08:58:15 39 13167 5246 0 320 -1 27 0 0 0
2000-03-25 09:08:15 39 13167 5246 0 320 -1 26 0 0 0
2000-03-25 09:18:15 39 13123 5246 0 320 -1 26 0 0 0
2000-03-25 09:28:15 39 13123 5246 0 321 -1 26 0 0 0
2000-03-25 09:38:15 39 13123 5246 0 321 -1 26 0 0 0
2000-03-25 09:48:15 39 13123 5246 0 321 -1 26 0 0 0
2000-03-25 09:58:15 39 13123 5246 0 321 -1 27 0 0 0
2000-03-25 10:08:15 39 13123 5246 0 321 -1 26 0 0 0
2000-03-25 10:18:15 39 13123 5246 0 321 -1 28 0 0 0
2000-03-25 10:28:15 39 13123 5246 0 321 -1 26 0 0 0
2000-03-25 10:38:15 39 13123 5246 0 321 -2 27 0 0 0
2000-03-25 10:48:15 39 13123 5246 0 321 -1 28 0 0 0
2000-03-25 10:58:15 39 13123 5246 0 321 -1 28 0 0 0
2000-03-25 11:08:15 39 13123 5246 0 321 -1 27 0 0 0
2000-03-25 11:18:15 39 13123 5246 0 321 -1 27 0 0 0
2000-03-25 11:28:15 39 13123 5246 0 322 -1 27 0 0 0
2000-03-25 11:38:15 39 13123 5246 0 323 -1 27 0 0 0
2000-03-25 11:48:15 39 13123 5246 0 323 -1 27 0 0 0
2000-03-25 11:58:15 39 13123 5246 0 323 -1 27 0 0 0
2000-03-25 12:08:15 39 13123 5246 0 323 -1 27 0 0 0
2000-03-25 12:18:15 39 13123 5246 0 323 -1 27 0 0 0
2000-03-25 12:28:15 39 13068 5246 0 323 -1 26 0 0 0
2000-03-25 12:38:15 39 13167 5246 0 180 -1 27 0 0 0
2000-03-25 12:48:15 39 13167 5246 0 164 -1 27 0 0 0
2000-03-25 12:58:15 39 13167 5246 0 164 -1 27 0 0 0
2000-03-25 13:08:15 39 13167 5246 0 164 -1 27 0 0 0
2000-03-25 13:18:15 39 13167 5246 0 164 -1 27 0 0 0
2000-03-25 13:28:15 39 13167 5246 0 164 -1 28 0 0 0
2000-03-25 13:38:15 39 13167 5246 0 164 -1 27 0 0 0
2000-03-25 13:48:15 39 13167 5246 0 164 -1 27 0 0 0
2000-03-25 13:58:15 39 13167 5246 0 164 -1 27 0 0 0
2000-03-25 14:08:15 39 13167 5246 0 164 -1 27 0 0 0
2000-03-25 14:18:15 39 13167 5246 0 164 -1 27 0 0 0
2000-03-25 14:28:15 39 13167 5246 0 164 -1 27 0 0 0
2000-03-25 14:38:15 39 13167 5246 0 164 -1 27 0 0 0
2000-03-25 14:48:15 39 13167 5246 0 164 -1 27 0 0 0
2000-03-25 14:58:15 39 13167 5246 0 164 -1 27 0 0 0
2000-03-25 15:08:15 39 13123 5246 0 164 -1 27 0 0 0
2000-03-25 15:18:15 39 13123 5246 0 164 -1 27 0 0 0
2000-03-25 15:28:15 39 13123 5246 0 164 -1 26 0 0 0
2000-03-25 15:38:15 39 13123 5246 0 164 -1 27 0 0 0
2000-03-25 15:48:15 39 13123 5246 0 164 -1 28 0 0 0
2000-03-25 15:58:15 39 13123 5246 0 165 -1 26 0 0 0
2000-03-25 16:08:15 39 13123 5246 0 165 -1 27 0 0 0
2000-03-25 16:18:15 39 13123 5246 0 165 -1 27 0 0 0
2000-03-25 16:28:15 39 13123 5246 0 165 -1 26 0 0 0
2000-03-25 16:38:15 39 13123 5246 0 165 -1 27 0 0 0
2000-03-25 16:48:15 39 13123 5246 0 165 -1 27 0 0 0
2000-03-25 16:58:15 39 13123 5246 0 165 -1 27 0 0 0
2000-03-25 17:08:15 39 13068 5246 0 165 -1 27 0 0 0
2000-03-25 17:18:15 39 13068 5246 0 165 -1 27 0 0 0
2000-03-25 17:28:15 39 13068 5246 0 165 -1 27 0 0 0
2000-03-25 17:38:15 39 13068 5246 0 165 -1 27 0 0 0
2000-03-25 17:48:15 39 13068 5246 0 165 -1 27 0 0 0
2000-03-25 17:58:15 39 13068 5246 0 165 -1 26 0 0 0
2000-03-25 18:08:15 39 13068 5246 0 165 -1 27 0 0 0
2000-03-25 18:18:15 39 13068 5246 0 165 -1 27 0 0 0
2000-03-25 18:28:15 39 13068 5246 0 165 -1 27 0 0 0
2000-03-25 18:38:15 39 13013 5246 0 165 -1 28 0 0 0
2000-03-25 18:48:15 39 13013 5246 0 166 -1 27 0 0 0
2000-03-25 18:58:15 39 13013 5246 0 166 -1 27 0 0 0
2000-03-25 19:08:15 39 12958 5246 0 260 -1 27 0 0 0
2000-03-25 19:18:15 39 12903 5185 0 328 61 27 0 0 0
2000-03-25 19:28:15 39 12848 5063 0 329 231 27 0 0 0
2000-03-25 19:38:15 39 12903 5246 0 328 -1 27 0 0 0
2000-03-25 19:48:15 39 12848 5063 0 329 201 27 0 0 0
2000-03-25 19:58:15 39 12793 4758 0 330 519 27 0 0 0
2000-03-25 20:08:15 39 12903 5246 165 328 -1 27 0 110 0
2000-03-25 20:18:15 39 12903 5246 1881 328 -1 27 1 1672 1
2000-03-25 20:28:15 39 13013 5246 9405 150 -1 28 3 9350 4
2000-03-25 20:38:15 39 13068 5002 13013 -1 225 27 4 14190 8
2000-03-25 20:48:15 39 12903 4697 13387 -1 760 27 12 16940 16
2000-03-25 20:58:15 39 12903 4697 13442 -1 759 26 20 18062 24
2000-03-25 21:08:15 39 12958 4697 13497 -1 728 26 30 18876 35
2000-03-25 21:18:15 39 13013 4697 13981 -1 707 27 121 20273 141
2000-03-25 21:28:15 39 13277 5246 15642 -1 55 27 417 21989 433
2000-03-25 21:38:15 39 13387 5307 15543 -2 -1 27 492 21934 508
2000-03-25 21:48:15 39 13442 5307 15378 -1 -1 27 558 21615 575
2000-03-25 21:58:15 39 13497 5307 15158 -1 -1 27 621 21340 638
2000-03-25 22:08:15 39 13552 5307 15103 -1 -1 27 676 21241 693
2000-03-25 22:18:15 39 13607 5307 15268 -1 -1 28 729 21131 747
2000-03-25 22:28:15 39 13607 5307 15433 -1 -1 26 769 21241 796
2000-03-25 22:38:15 39 13651 5307 15323 -1 -1 27 821 21241 841
2000-03-25 22:48:15 39 13706 5307 15378 -1 -1 27 853 21186 883
2000-03-25 22:58:15 39 13761 5307 15323 -1 -1 26 901 21241 922
2000-03-25 23:08:15 39 13761 5307 15378 -1 -1 27 937 21285 960
2000-03-25 23:18:15 39 13816 5307 15378 -1 -1 28 973 21285 997
2000-03-25 23:28:15 39 13816 5307 15378 -1 -1 27 1011 21241 1036
2000-03-25 23:38:15 39 13816 5307 15488 -1 -1 27 1057 21186 1094
2000-03-25 23:48:15 39 13816 5307 15488 -1 -1 27 1018 21186 1029
2000-03-25 23:58:15 39 13926 5307 15807 -1 -1 27 1140 21395 1177
