01/04/15    23:43:26,2 days 23:49:59,14.7V,5.2V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,74.1F,,,,,,,
01/04/15    23:38:27,2 days 23:45:00,14.6V,5.2V,12.8V,12.7V,0.0A,0.0A,0.0A,-0.2A,,74.1F,,,,,,,
01/04/15    23:33:26,2 days 23:39:59,14.6V,5.2V,12.8V,12.7V,0.0A,0.0A,0.0A,-0.2A,,74.1F,,,,,,,
01/04/15    23:28:27,2 days 23:35:00,14.5V,5.2V,12.7V,12.7V,0.0A,0.0A,0.0A,-0.2A,,73.9F,,,,,,,
01/04/15    23:23:27,2 days 23:30:00,14.3V,5.2V,12.7V,12.7V,0.0A,0.0A,0.0A,-0.2A,,73.9F,,,,,,,
01/04/15    23:18:27,2 days 23:24:59,14.1V,5.2V,12.7V,12.7V,0.0A,0.0A,0.0A,-0.2A,,73.9F,,,,,,,
01/04/15    23:13:28,2 days 23:20:00,14.4V,5.2V,12.7V,12.7V,0.0A,0.0A,0.0A,-0.2A,,73.9F,,,,,,,
01/04/15    23:08:28,2 days 23:15:00,14.2V,5.2V,12.7V,12.7V,0.0A,0.0A,0.0A,-0.2A,,73.9F,,,,,,,
01/04/15    23:03:29,2 days 23:10:00,14.2V,5.2V,12.7V,12.7V,0.0A,0.0A,0.0A,-0.2A,,73.9F,,,,,,,
01/04/15    22:58:29,2 days 23:05:00,14.1V,5.2V,12.7V,12.6V,0.0A,0.0A,0.0A,-0.2A,,73.8F,,,,,,,
01/04/15    22:53:29,2 days 23:00:00,14.1V,5.2V,12.7V,12.6V,0.0A,0.0A,0.0A,-0.2A,,73.9F,,,,,,,
01/04/15    22:48:29,2 days 22:54:59,13.9V,0.3V,12.7V,12.6V,0.0A,0.0A,0.0A,-0.2A,,73.8F,,,,,,,
01/04/15    22:43:30,2 days 22:50:00,13.8V,0.3V,12.7V,12.6V,0.0A,0.0A,0.0A,-0.2A,,73.8F,,,,,,,
01/04/15    22:38:30,2 days 22:45:00,13.5V,0.3V,12.7V,12.6V,0.0A,0.0A,0.0A,-0.2A,,73.8F,,,,,,,
01/04/15    22:33:31,2 days 22:40:00,13.1V,0.3V,12.7V,12.6V,0.0A,0.0A,0.0A,-0.2A,,73.9F,,,,,,,
01/04/15    22:28:31,2 days 22:35:00,13.1V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,73.9F,,,,,,,
01/04/15    22:23:31,2 days 22:30:00,13.1V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,73.9F,,,,,,,
01/04/15    22:18:31,2 days 22:25:00,13.1V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,73.9F,,,,,,,
01/04/15    22:13:32,2 days 22:20:00,13.0V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,73.9F,,,,,,,
01/04/15    22:08:32,2 days 22:15:00,12.7V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,73.9F,,,,,,,
01/04/15    22:03:32,2 days 22:10:00,12.6V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,73.9F,,,,,,,
01/04/15    21:58:32,2 days 22:05:00,11.4V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,73.9F,,,,,,,
01/04/15    21:53:33,2 days 22:00:00,8.3V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,73.9F,,,,,,,
01/04/15    21:48:33,2 days 21:55:00,2.8V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,73.9F,,,,,,,
01/04/15    21:43:33,2 days 21:50:00,0.7V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,73.9F,,,,,,,
01/04/15    21:38:33,2 days 21:44:59,0.2V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,74.1F,,,,,,,
01/04/15    21:33:34,2 days 21:40:00,0.1V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,74.1F,,,,,,,
01/04/15    21:28:34,2 days 21:35:00,0.0V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,74.1F,,,,,,,
01/04/15    21:23:34,2 days 21:29:59,0.0V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,74.1F,,,,,,,
01/04/15    21:18:35,2 days 21:25:00,0.0V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,74.3F,,,,,,,
01/04/15    21:13:35,2 days 21:20:00,0.0V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,74.3F,,,,,,,
01/04/15    21:08:35,2 days 21:15:00,0.0V,0.3V,12.6V,12.6V,0.0A,0.0A,0.0A,-0.2A,,74.3F,,,,,,,
01/04/15    21:03:35,2 days 21:09:59,0.0V,0.3V,12.6V,12.5V,0.0A,0.0A,0.0A,-0.2A,,74.5F,,,,,,,
01/04/15    20:58:36,2 days 21:05:00,0.0V,0.3V,12.6V,12.5V,0.0A,0.0A,0.0A,-0.2A,,74.5F,,,,,,,
01/04/15    20:53:36,2 days 21:00:00,0.0V,0.3V,12.6V,12.5V,0.0A,0.0A,0.0A,-0.2A,,74.5F,,,,,,,
01/04/15    20:48:37,2 days 20:55:00,0.0V,0.3V,12.6V,12.5V,0.0A,0.0A,0.0A,-0.2A,,74.7F,,,,,,,
01/04/15    20:43:37,2 days 20:50:00,0.0V,0.3V,12.6V,12.5V,0.0A,0.0A,0.0A,-0.2A,,74.7F,,,,,,,
01/04/15    20:38:37,2 days 20:45:00,0.0V,0.3V,12.6V,12.5V,0.0A,0.0A,0.0A,-0.2A,,74.7F,,,,,,,
01/04/15    20:33:38,2 days 20:40:00,0.0V,0.3V,12.6V,12.5V,0.0A,0.0A,0.0A,-0.2A,,74.8F,,,,,,,
01/04/15    20:28:38,2 days 20:35:00,0.0V,0.3V,12.5V,12.5V,0.0A,0.0A,0.0A,-0.2A,,74.8F,,,,,,,
01/04/15    20:23:39,2 days 20:30:00,0.1V,0.3V,12.5V,12.5V,0.0A,0.0A,0.0A,-0.2A,,75.0F,,,,,,,
01/04/15    20:18:39,2 days 20:25:00,0.1V,0.3V,12.5V,12.5V,0.0A,0.0A,0.0A,-0.2A,,75.0F,,,,,,,
01/04/15    20:13:39,2 days 20:19:59,0.1V,0.3V,12.5V,12.5V,0.0A,0.0A,0.0A,-0.2A,,75.0F,,,,,,,
01/04/15    20:08:40,2 days 20:15:00,0.1V,0.3V,12.5V,12.5V,0.0A,0.0A,0.0A,-0.2A,,75.0F,,,,,,,
01/04/15    20:03:40,2 days 20:10:00,0.1V,0.3V,12.5V,12.5V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    19:58:41,2 days 20:05:00,0.1V,0.3V,12.5V,12.5V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    19:53:41,2 days 20:00:00,0.1V,0.3V,12.5V,12.4V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    19:48:41,2 days 19:55:00,0.1V,0.3V,12.5V,12.4V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    19:43:41,2 days 19:49:59,0.1V,0.3V,12.4V,12.4V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    19:38:42,2 days 19:45:00,0.1V,0.3V,12.4V,12.4V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    19:33:42,2 days 19:39:59,0.1V,0.3V,12.4V,12.4V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    19:28:43,2 days 19:35:00,0.1V,0.3V,12.4V,12.4V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
01/04/15    19:23:43,2 days 19:29:59,0.1V,0.3V,12.4V,12.4V,0.0A,0.0A,0.0A,-0.2A,,75.2F,,,,,,,
