02/13/15    03:52:47,42 days 05:55:00,18.7V,5.2V,13.8V,13.8V,0.0A,0.0A,0.0A,-0.2A,,82.4F,,,,,,,
02/13/15    03:47:47,42 days 05:50:00,19.1V,5.2V,13.9V,13.8V,0.0A,0.0A,0.0A,-0.2A,,82.2F,,,,,,,
02/13/15    03:42:48,42 days 05:45:00,19.3V,5.2V,13.8V,13.8V,0.0A,0.0A,0.0A,-0.2A,,82.0F,,,,,,,
02/13/15    03:37:48,42 days 05:39:59,19.3V,5.2V,13.8V,13.8V,0.0A,0.0A,0.0A,-0.2A,,82.0F,,,,,,,
02/13/15    03:32:49,42 days 05:35:00,16.1V,5.2V,13.6V,13.5V,0.0A,0.0A,0.0A,-0.2A,,81.9F,,,,,,,
02/13/15    03:27:50,42 days 05:30:00,18.9V,5.2V,13.8V,13.8V,0.0A,0.0A,0.0A,-0.2A,,81.7F,,,,,,,
02/13/15    03:22:50,42 days 05:25:00,15.9V,5.2V,13.6V,13.5V,0.0A,0.0A,0.0A,-0.2A,,81.5F,,,,,,,
02/13/15    03:17:51,42 days 05:20:00,16.0V,5.2V,13.7V,13.7V,0.0A,0.0A,0.0A,-0.2A,,81.3F,,,,,,,
02/13/15    03:12:52,42 days 05:15:00,16.0V,5.2V,13.7V,13.7V,0.0A,0.0A,0.0A,-0.2A,,81.1F,,,,,,,
02/13/15    03:07:52,42 days 05:10:00,16.0V,5.2V,13.7V,13.7V,0.0A,0.0A,0.0A,-0.2A,,80.8F,,,,,,,
02/13/15    03:02:53,42 days 05:05:00,16.1V,5.2V,13.7V,13.6V,0.0A,0.0A,0.0A,-0.2A,,80.6F,,,,,,,
02/13/15    02:57:53,42 days 04:59:59,19.4V,5.2V,13.8V,13.7V,0.0A,0.0A,0.0A,-0.2A,,80.4F,,,,,,,
02/13/15    02:52:54,42 days 04:55:00,15.6V,5.2V,13.7V,13.6V,0.0A,0.0A,0.0A,-0.2A,,80.4F,,,,,,,
02/13/15    02:47:54,42 days 04:49:59,15.9V,5.2V,13.4V,13.3V,0.0A,0.0A,0.0A,-0.2A,,80.2F,,,,,,,
02/13/15    02:42:55,42 days 04:45:00,15.9V,5.2V,13.4V,13.4V,0.0A,0.0A,0.0A,-0.2A,,80.1F,,,,,,,
02/13/15    02:37:56,42 days 04:40:00,18.5V,5.2V,13.8V,13.7V,0.0A,0.0A,0.0A,-0.2A,,79.7F,,,,,,,
02/13/15    02:32:57,42 days 04:35:00,16.2V,4.7V,13.6V,13.5V,0.5A,0.0A,0.0A,-0.2A,,79.5F,,,,,,,
02/13/15    02:27:57,42 days 04:30:00,16.2V,4.7V,13.6V,13.5V,0.5A,0.0A,0.0A,-0.2A,,79.2F,,,,,,,
02/13/15    02:22:58,42 days 04:25:00,16.3V,5.2V,13.6V,13.6V,0.0A,0.0A,0.0A,-0.2A,,79.0F,,,,,,,
02/13/15    02:17:58,42 days 04:19:59,16.3V,5.2V,13.7V,13.6V,0.0A,0.0A,0.0A,-0.2A,,78.6F,,,,,,,
02/13/15    02:12:59,42 days 04:15:00,19.1V,5.2V,13.6V,13.5V,0.0A,0.0A,0.0A,-0.2A,,78.3F,,,,,,,
