Time ID V1 V2 V3 I1 I2 I3 I4 O1 O2
2000-06-30 00:01:12 22 14190 0 17743 0 0 26 260 20966 444
2000-06-30 00:11:12 22 14300 0 19459 0 0 26 245 20856 495
2000-06-30 00:21:12 22 14300 0 20537 0 0 27 224 21450 958
2000-06-30 00:31:12 22 14355 0 20911 0 0 27 139 21241 1005
2000-06-30 00:41:12 22 14410 0 21076 0 0 27 32 21131 939
2000-06-30 00:51:12 22 14410 0 20801 0 0 27 32 20856 744
2000-06-30 01:01:12 22 14410 0 21131 0 0 26 32 21285 823
2000-06-30 01:11:12 22 14410 0 21076 0 0 26 31 21131 741
2000-06-30 01:21:12 22 14410 0 20966 0 0 26 31 21076 545
2000-06-30 01:31:12 22 14410 0 20801 0 0 26 31 20911 420
2000-06-30 01:41:12 22 14410 0 20702 0 0 26 31 20856 360
2000-06-30 01:51:12 22 14410 0 20482 0 0 26 32 20647 276
2000-06-30 02:01:12 22 14410 0 20427 0 0 26 31 20647 245
2000-06-30 02:11:12 22 14410 0 20108 0 0 26 55 20592 219
2000-06-30 02:21:12 22 14355 0 18821 0 0 29 102 20372 180
2000-06-30 02:31:12 22 14190 0 15323 0 0 26 114 19943 123
2000-06-30 02:41:12 22 13926 0 15004 0 0 27 75 19514 84
2000-06-30 02:51:12 22 13607 0 14575 0 0 26 66 19305 73
2000-06-30 03:01:12 22 13497 0 14465 0 0 27 46 18876 51
2000-06-30 03:11:12 22 13387 0 14190 0 0 27 33 18392 38
2000-06-30 03:21:12 22 13332 0 14036 0 0 27 23 17798 28
2000-06-30 03:31:12 22 13277 0 13816 38 0 28 11 16401 15
2000-06-30 03:41:12 22 13123 0 13123 226 0 27 5 14575 9
2000-06-30 03:51:12 22 13068 0 12155 336 0 26 3 11990 5
2000-06-30 04:01:12 22 13013 0 8283 391 0 27 1 7414 3
2000-06-30 04:11:12 22 13013 0 2420 391 0 26 0 1716 0
2000-06-30 04:21:12 22 13013 0 319 391 0 26 0 220 0
2000-06-30 04:31:12 22 13013 0 0 391 0 26 0 0 0
2000-06-30 04:41:12 22 13013 0 0 391 0 27 0 0 0
2000-06-30 04:51:12 22 13013 0 0 391 0 27 0 0 0
2000-06-30 05:01:12 22 13013 0 0 391 0 27 0 0 0
2000-06-30 05:11:12 22 13013 0 0 391 0 27 0 0 0
2000-06-30 05:21:12 22 13068 0 0 273 0 26 0 0 0
2000-06-30 05:31:12 22 13167 0 0 163 0 26 0 0 0
2000-06-30 05:41:12 22 13167 0 0 164 0 27 0 0 0
2000-06-30 05:51:12 22 13167 0 0 163 0 26 0 0 0
2000-06-30 06:01:12 22 13167 0 0 163 0 26 0 0 0
2000-06-30 06:11:12 22 13167 0 0 163 0 26 0 0 0
2000-06-30 06:21:12 22 13068 0 0 164 0 26 0 0 0
2000-06-30 06:31:12 22 13013 0 0 164 0 26 0 0 0
2000-06-30 06:41:12 22 13013 0 0 164 0 27 0 0 0
2000-06-30 06:51:12 22 13013 0 0 164 0 27 0 0 0
2000-06-30 07:01:12 22 13013 0 0 164 0 26 0 0 0
2000-06-30 07:11:12 22 13167 0 55 163 0 26 0 0 0
2000-06-30 07:21:12 22 13167 0 110 163 0 26 0 0 0
2000-06-30 07:31:12 22 13167 0 0 163 0 26 0 55 0
2000-06-30 07:41:12 22 13167 0 0 163 0 26 0 0 0
2000-06-30 07:51:12 22 13123 0 0 163 0 26 0 0 0
2000-06-30 08:01:12 22 13123 0 0 163 0 26 0 0 0
2000-06-30 08:11:12 22 13123 0 0 163 0 26 0 0 0
2000-06-30 08:21:12 22 13123 0 0 164 0 29 0 0 0
2000-06-30 08:31:12 22 13123 0 0 163 0 28 0 0 -1
2000-06-30 08:41:12 22 13123 0 55 164 0 27 0 0 0
2000-06-30 08:51:12 22 13123 0 0 164 0 27 0 0 0
2000-06-30 09:01:12 22 13123 0 0 164 0 27 0 0 0
2000-06-30 09:11:12 22 13123 0 0 163 0 26 0 0 0
2000-06-30 09:21:12 22 13123 0 0 163 0 26 0 0 0
2000-06-30 09:31:12 22 13123 0 0 164 0 27 0 0 0
2000-06-30 09:41:12 22 13123 0 0 164 0 26 0 0 0
2000-06-30 09:51:12 22 13123 0 0 164 0 26 0 0 0
2000-06-30 10:01:12 22 13123 0 0 164 0 26 0 0 0
2000-06-30 10:11:12 22 13123 0 0 164 0 26 0 0 0
2000-06-30 10:21:12 22 13123 0 0 164 0 26 0 0 0
2000-06-30 10:31:12 22 13068 0 0 164 0 26 0 0 0
2000-06-30 10:41:12 22 13068 0 0 164 0 27 0 0 0
2000-06-30 10:51:12 22 13068 0 0 164 0 27 0 0 0
2000-06-30 11:01:12 22 13068 0 0 164 0 26 0 0 0
2000-06-30 11:11:12 22 13068 0 0 164 0 26 0 0 0
2000-06-30 11:21:12 22 13068 0 0 164 0 26 0 0 0
