Time ID V1 V2 V3 I1 I2 I3 I4 O1 O2
2000-10-08 00:05:23 22 14300 0 0 0 0 28 0 0 0
2000-10-08 00:15:23 22 14300 0 0 0 0 26 0 0 0
2000-10-08 00:25:23 22 14300 0 0 0 0 28 0 0 0
2000-10-08 00:35:23 22 14245 0 0 0 0 28 0 0 0
2000-10-08 00:45:23 22 14300 0 0 0 0 28 0 0 0
2000-10-08 00:55:23 22 14300 0 0 0 0 28 0 0 0
2000-10-08 01:05:23 22 14300 0 0 0 0 28 0 0 0
2000-10-08 01:15:23 22 14300 0 0 0 0 29 0 0 0
2000-10-08 01:25:23 22 14300 0 0 0 0 28 0 0 0
2000-10-08 01:35:23 22 14300 0 0 0 0 28 0 0 0
2000-10-08 01:45:23 22 14300 0 0 0 0 28 0 0 0
2000-10-08 01:55:23 22 14300 0 0 0 0 28 0 0 0
2000-10-08 02:05:23 22 14300 0 0 0 0 28 0 0 0
2000-10-08 02:15:23 22 14300 0 0 0 0 29 0 0 0
2000-10-08 02:25:23 22 14036 0 0 0 0 27 0 0 0
2000-10-08 02:35:23 22 14091 0 0 0 0 28 0 0 0
2000-10-08 02:45:23 22 14135 0 0 0 0 28 0 0 0
2000-10-08 02:55:23 22 13871 0 0 0 0 27 0 0 0
2000-10-08 03:05:23 22 13552 0 0 0 0 28 0 0 0
2000-10-08 03:15:23 22 13442 0 0 0 0 28 0 0 0
2000-10-08 03:25:23 22 13277 0 0 0 0 28 0 0 0
2000-10-08 03:35:23 22 13167 0 0 0 0 27 0 0 0
2000-10-08 03:45:23 22 13167 0 0 0 0 28 0 0 0
2000-10-08 03:55:23 22 13167 0 0 0 0 26 0 0 0
2000-10-08 03:59:06 22 0 0 0 0 0 0 0 0 0
