date,time,PVavg,USBavg,LEDavg,DLavg,CONSavg
2024-01-30,00:00:00,0,0.139383032258065,1.93685870967742,0.335449967741935,2.41169170967742
2024-01-30,00:10:00,0,0.136329096774194,1.92779329032258,0.336239483870968,2.40036187096774
2024-01-30,00:20:00,0,0.118660741935484,1.92779329032258,0.334149483870968,2.38060351612903
2024-01-30,00:30:00,0,0.109068,1.926474,0.335298806451613,2.37084080645161
2024-01-30,00:40:00,0,0.120656032258065,1.92756477419355,0.337209612903226,2.38543041935484
2024-01-30,00:50:00,0,0.107759451612903,1.92682883870968,0.335121387096774,2.36970967741936
2024-01-30,01:00:00,0,0.109213612903226,1.92706870967742,0.334623548387097,2.37090587096774
2024-01-30,01:10:00,0,0.101199,1.9281165483871,0.333287935483871,2.36260348387097
2024-01-30,01:20:00,0,0.0951324516129032,1.88261025806452,0.33404764516129,2.31179035483871
2024-01-30,01:30:00,0,0.0869309032258064,1.83498948387097,0.334489064516129,2.2564094516129
2024-01-30,01:40:00,0,0.0714506774193548,1.834679,0.335262967741935,2.24139264516129
2024-01-30,01:50:00,0,0.0696069032258064,1.85444741935484,0.335973,2.26002732258064
2024-01-30,02:00:00,0,0.0668382903225807,1.85901774193548,0.334444,2.26030003225806
2024-01-30,02:10:00,0,0.0605277419354839,1.83396541935484,0.334369483870968,2.22886264516129
2024-01-30,02:20:00,0,0.0451144193548387,1.83494441935484,0.335573806451613,2.21563264516129
2024-01-30,02:30:00,0,0.0502954838709677,1.88303606451613,0.333164806451613,2.26649635483871
2024-01-30,02:40:00,0,0.0504745483870968,1.83307548387097,0.333461451612903,2.21701148387097
2024-01-30,02:50:00,0,0.0537901935483871,1.83367941935484,0.334990806451613,2.22246041935484
2024-01-30,03:00:00,0,0.0500928064516129,1.92854732258065,0.332701032258065,2.31134116129032
2024-01-30,03:10:00,0,0.0470723225806452,1.90210722580645,0.333184677419355,2.28236422580645
2024-01-30,03:20:00,0,0.051785064516129,1.83224941935484,0.333528161290323,2.21756264516129
2024-01-30,03:30:00,0,0.0513147741935484,1.77714474193548,0.333620419354839,2.16207993548387
2024-01-30,03:40:00,0,0.045994,1.76488470967742,0.332708129032258,2.14358683870968
2024-01-30,03:50:00,0,0.050569,1.81239264516129,0.333878741935484,2.19684038709677
2024-01-30,04:00:00,0,0.0370722580645161,1.72717032258065,0.334387935483871,2.09863051612903
2024-01-30,04:10:00,0,0.0825231612903226,1.68647067741935,0.334842838709677,2.10383667741935
2024-01-30,04:20:00,0,0.0861575806451613,1.71445929032258,0.33468635483871,2.13530322580645
2024-01-30,04:30:00,0,0.105404064516129,1.76895329032258,0.333602677419355,2.20796003225806
2024-01-30,04:40:00,0,0.131988258064516,1.82878938709677,0.334794580645161,2.29557222580645
2024-01-30,04:50:00,0,0.0883811290322581,1.79951874193548,0.334604032258065,2.22250390322581
2024-01-30,05:00:00,0,0.0847585161290323,1.72330967741935,0.333438032258064,2.14150622580645
2024-01-30,05:10:00,0,0.101470548387097,1.84373980645161,0.333257064516129,2.27846741935484
2024-01-30,05:20:00,0,0.150719193548387,1.97356180645161,0.335424774193548,2.45970577419355
2024-01-30,05:30:00,0,0.183452580645161,2.08736425806452,0.335108612903226,2.6059254516129
2024-01-30,05:40:00,0,0.179652870967742,2.18892477419355,0.332313903225806,2.7008915483871
2024-01-30,05:50:00,0,0.189753290322581,2.19318461290323,0.333037419354839,2.71597532258065
2024-01-30,06:00:00,0.00127493548387097,0.219283193548387,1.99911232258065,0.335383258064516,2.55377877419355
2024-01-30,06:10:00,0.0204780967741935,0.345289516129032,1.54196261290323,0.338186483870968,2.22543861290323
2024-01-30,06:20:00,0.0554538387096774,0.477218741935484,0.887718806451613,0.345769032258065,1.71070658064516
2024-01-30,06:30:00,0.130908870967742,0.652857419354839,0.352321838709677,0.344715516129032,1.34989477419355
2024-01-30,06:40:00,0.25126164516129,0.924039806451613,0.25390235483871,0.344605161290323,1.52254732258064
2024-01-30,06:50:00,0.421152741935484,0.900472161290323,0.121734161290323,0.345661161290323,1.36786748387097
2024-01-30,07:00:00,0.667790483870968,0.867748612903226,0.0383612580645161,0.347664935483871,1.25377480645161
2024-01-30,07:10:00,1.32074019354839,0.968739032258064,-0.00124690322580645,0.347048580645161,1.31454070967742
2024-01-30,07:20:00,2.13573196774193,1.08538677419355,-0.000836,0.348054548387097,1.43260532258065
2024-01-30,07:30:00,2.69177806451613,1.08750209677419,-0.00252361290322581,0.349860322580645,1.43483880645161
2024-01-30,07:40:00,3.32692941935484,1.04282451612903,-0.00336670967741935,0.350519258064516,1.38997706451613
2024-01-30,07:50:00,3.84968774193548,1.00359364516129,-0.00293132258064516,0.352881774193548,1.35354409677419
