date,time,PVavg,USBavg,LEDavg,DLavg,CONSavg
2024-01-30,00:00:00,0,0.150396483870968,1.04009470967742,0.355451870967742,1.54594306451613
2024-01-30,00:10:00,0,0.153064741935484,1.04047367741935,0.354121225806452,1.54765964516129
2024-01-30,00:20:00,0,0.219235967741935,1.03894183870968,0.356234290322581,1.61441209677419
2024-01-30,00:30:00,0,0.229249806451613,1.03922003225806,0.356101935483871,1.62457177419355
2024-01-30,00:40:00,0,0.223193096774194,1.0383595483871,0.354650290322581,1.61620293548387
2024-01-30,00:50:00,0,0.211378774193548,1.03860758064516,0.357397096774194,1.6073834516129
2024-01-30,01:00:00,0,0.229090419354839,1.03745080645161,0.352301258064516,1.61884248387097
2024-01-30,01:10:00,0,0.232917677419355,0.978195935483871,0.352085161290322,1.56319877419355
2024-01-30,01:20:00,0,0.230050677419355,0.931406193548387,0.351100129032258,1.512557
2024-01-30,01:30:00,0,0.21671135483871,0.945452838709677,0.354409709677419,1.51657390322581
2024-01-30,01:40:00,0,0.193692709677419,0.945452838709677,0.355341870967742,1.49448741935484
2024-01-30,01:50:00,0,0.229509548387097,0.945969483870968,0.354719483870968,1.53019851612903
2024-01-30,02:00:00,0,0.275294967741935,0.943663387096774,0.357636967741935,1.57659532258065
2024-01-30,02:10:00,0,0.205070193548387,0.943663387096774,0.354322774193548,1.50305635483871
2024-01-30,02:20:00,0,0.209115870967742,0.95359,0.35482664516129,1.51753251612903
2024-01-30,02:30:00,0,0.193167322580645,0.883282967741935,0.353988161290322,1.4304384516129
2024-01-30,02:40:00,0,0.156618483870968,0.753573096774193,0.354515451612903,1.26470703225806
2024-01-30,02:50:00,0,0.171474935483871,0.683553129032258,0.356545838709677,1.21157390322581
2024-01-30,03:00:00,0,0.162450870967742,0.65777835483871,0.356044806451613,1.17627403225806
2024-01-30,03:10:00,0,0.146974580645161,0.657927387096774,0.353508064516129,1.15841003225806
2024-01-30,03:20:00,0,0.167994,0.65742635483871,0.35738929032258,1.18280964516129
2024-01-30,03:30:00,0,0.158411096774194,0.76158464516129,0.35614735483871,1.27614309677419
2024-01-30,03:40:00,0,0.158403225806452,0.859991,0.354281258064516,1.37267548387097
2024-01-30,03:50:00,0,0.161642129032258,0.828001580645161,0.350810225806452,1.34045393548387
2024-01-30,04:00:00,0,0.196345225806452,0.592445806451613,0.353135129032258,1.14192616129032
2024-01-30,04:10:00,0,0.204174870967742,0.550340290322581,0.354405096774193,1.10892025806452
2024-01-30,04:20:00,0,0.202262225806452,0.499984064516129,0.355132516129032,1.05737880645161
2024-01-30,04:30:00,0,0.186175935483871,0.385683064516129,0.354530709677419,0.926389709677419
2024-01-30,04:40:00,0,0.20560935483871,0.259369,0.357577709677419,0.822556064516129
2024-01-30,04:50:00,0,0.224859774193548,0.247271483870968,0.358515903225806,0.830647161290322
2024-01-30,05:00:00,0,0.33277664516129,0.156040322580645,0.355014709677419,0.843831677419355
2024-01-30,05:10:00,0,0.35835335483871,0.295544451612903,0.354804290322581,1.00870209677419
