time,LCavg,MCavg,HCavg
2024-02-01 00:00:00,1.0586225806451617,0.0,0.0
2024-02-01 00:10:00,1.145693548387097,0.0,0.0
2024-02-01 00:20:00,1.1941096774193547,0.0,0.0
2024-02-01 00:30:00,1.3198935483870966,0.0,0.0
2024-02-01 00:40:00,1.4069677419354834,0.0,0.0
2024-02-01 00:50:00,1.484390322580645,0.0,0.0
2024-02-01 01:00:00,1.7069903225806446,0.0,0.0
2024-02-01 01:10:00,1.9972322580645157,0.0,0.0
2024-02-01 01:20:00,1.9682548387096772,0.0,0.0
2024-02-01 01:30:00,2.0166290322580642,0.0,0.0
2024-02-01 01:40:00,2.1714161290322576,0.0,0.0
2024-02-01 01:50:00,2.3068935483870967,0.0,0.0
2024-02-01 02:00:00,2.4230419354838704,0.0,0.0
2024-02-01 02:10:00,2.4230419354838713,0.0,0.0
2024-02-01 02:20:00,2.529458064516129,0.0,0.0
2024-02-01 02:30:00,2.4520999999999997,0.0,0.0
2024-02-01 02:40:00,2.5004999999999997,0.0,0.0
2024-02-01 02:50:00,2.3166903225806443,0.0,0.0
2024-02-01 03:00:00,2.4618032258064515,0.0,0.0
2024-02-01 03:10:00,2.4521290322580644,1.6129032258064517e-05,0.0
2024-02-01 03:20:00,2.481151612903225,0.1452225806451613,0.0
2024-02-01 03:30:00,2.5585451612903216,0.16135483870967743,0.0
2024-02-01 03:40:00,2.616590322580645,0.16135483870967743,4.6666666666666665e-05
2024-02-01 03:50:00,2.4811741935483864,0.19365483870967742,6.666666666666667e-05
2024-02-01 04:00:00,2.4424903225806447,0.3227096774193548,0.01678333333333333
2024-02-01 04:10:00,2.568312903225806,0.209883870967742,0.28346333333333334
2024-02-01 04:20:00,2.597348387096774,0.5002838709677419,0.5001933333333334
2024-02-01 04:30:00,2.6167193548387093,0.8650322580645161,0.7837266666666666
2024-02-01 04:40:00,2.6361161290322577,1.1555193548387097,1.14059
2024-02-01 04:50:00,2.800658064516129,1.4169870967741933,2.014
2024-02-01 05:00:00,2.694241935483871,2.0624000000000002,2.81406
2024-02-01 05:10:00,2.287938709677419,3.297896774193548,3.647553333333333
2024-02-01 05:20:00,2.2976322580645157,4.233390322580645,4.760990000000001
2024-02-01 05:30:00,2.326645161290323,5.7333096774193555,6.27422
2024-02-01 05:40:00,2.4330032258064516,6.910429032258065,7.317306666666667
2024-02-01 05:50:00,2.568445161290322,7.565116129032259,7.997153333333333
2024-02-01 06:00:00,2.510409677419355,8.326229032258066,8.150436666666668
2024-02-01 06:10:00,2.5974709677419354,8.826125806451614,8.500353333333333
2024-02-01 06:20:00,2.8490129032258067,9.47763548387097,8.810360000000001
2024-02-01 06:30:00,2.7329387096774194,9.78727741935484,9.033700000000001
2024-02-01 06:40:00,2.790990322580645,10.038890322580645,9.517016666666667
2024-02-01 06:50:00,2.7427161290322584,10.129296774193548,9.936956666666667
2024-02-01 07:00:00,2.5589451612903233,10.081016129032259,9.71043
2024-02-01 07:10:00,2.8105612903225814,10.00370322580645,9.74722
2024-02-01 07:20:00,2.597767741935484,9.600651612903224,9.907266666666667
2024-02-01 07:30:00,2.646161290322581,8.716954838709679,9.677273333333336
2024-02-01 07:40:00,2.5591419354838703,7.83639677419355,8.940673333333333
2024-02-01 07:50:00,2.5881806451612897,7.126803225806452,7.397503333333335
2024-02-01 08:00:00,2.4817612903225807,6.433335483870967,6.397486666666667
2024-02-01 08:10:00,2.5301032258064513,5.846267741935486,4.737746666666667
2024-02-01 08:20:00,2.4236677419354837,5.02349677419355,3.4744533333333334
2024-02-01 08:30:00,1.9689612903225806,4.355570967741935,3.0676500000000004
2024-02-01 08:40:00,1.7561032258064517,3.904006451612904,3.850846666666667
2024-02-01 08:50:00,1.9012161290322582,4.000790322580646,5.217386666666668
2024-02-01 09:00:00,1.9979387096774193,3.7911129032258075,5.450733333333335
2024-02-01 09:10:00,2.1430161290322576,4.032980645161291,5.584030000000002
2024-02-01 09:20:00,2.084916129032257,3.984612903225807,6.217396666666668
2024-02-01 09:30:00,2.1042064516129027,3.662093548387097,7.850426666666668
2024-02-01 09:40:00,1.9686838709677417,4.016790322580645,7.383770000000002
2024-02-01 09:50:00,1.8718258064516125,4.210219354838709,6.933803333333334
2024-02-01 10:00:00,1.6492064516129032,4.03273870967742,6.900456666666669
2024-02-01 10:10:00,1.6201258064516129,3.694067741935484,6.217220000000002
2024-02-01 10:20:00,1.455564516129032,3.468277419354839,5.583956666666668
2024-02-01 10:30:00,1.561951612903226,3.419893548387098,4.250746666666667
2024-02-01 10:40:00,1.523212903225806,3.0489290322580653,3.4840499999999994
2024-02-01 10:50:00,1.4845161290322577,2.1619774193548387,3.217330000000001
2024-02-01 11:00:00,1.6102645161290317,1.8071709677419359,3.1006066666666667
2024-02-01 11:10:00,1.4070322580645158,1.6136322580645162,2.7172466666666675
2024-02-01 11:20:00,1.3005806451612902,1.2426129032258064,2.01726
2024-02-01 11:30:00,1.3876129032258064,1.419887096774193,1.5004733333333329
2024-02-01 11:40:00,1.426225806451613,1.581070967741935,1.4002833333333333
2024-02-01 11:50:00,1.484254838709677,1.1294935483870965,1.0835700000000001
