time,V1,V2,V3,I1,I2,I3,I4,O1,O2
16:16:44,13.497,4.941,15.433,0.003,0.406,0.026,0.304,20.966,0.334
16:26:44,13.442,4.941,15.378,0,0.402,0.026,0.237,20.911,0.26
16:36:44,13.387,5.002,15.378,0,0.309,0.026,0.171,20.801,0.19
16:46:44,13.442,5.307,15.488,0,0,0.026,0.113,20.647,0.127
16:56:44,13.442,5.307,14.839,0,0,0.026,0.064,20.372,0.076
17:06:44,13.387,5.307,14.355,0,0,0.026,0.033,18.975,0.039
17:16:44,13.332,5.307,13.981,0,0,0.027,0.018,17.094,0.023
17:26:44,13.332,5.307,14.41,0,0,0.026,0.01,16.291,0.015
17:36:44,13.332,5.307,13.607,0,0,0.026,0.004,14.3,0.008
17:46:44,13.332,5.307,11.286,0,0,0.026,0.003,10.703,0.004
17:56:44,13.222,5.307,3.597,0.154,0,0.026,0,2.629,0.001
18:06:44,12.903,5.002,0.374,0.396,0.491,0.026,0,0.264,0
18:16:44,12.848,4.941,0.055,0.395,0.67,0.026,0,0,0.001
18:26:44,12.958,5.124,0,0.393,0.313,0.026,0,0,0
18:36:44,13.013,5.307,0,0.39,0,0.026,0,0,0
18:46:44,13.013,5.307,0,0.39,0,0.027,0,0,0
18:56:44,13.013,5.307,0,0.39,0,0.026,0,0,0
19:06:44,13.013,5.307,0,0.39,0,0.027,0,0,0
19:16:44,13.013,5.307,0,0.39,0,0.026,0,0,0
19:26:44,13.013,5.307,0,0.39,0,0.026,0,0,0
19:36:44,13.123,5.307,0,0.257,0,0.027,0,0,0
19:46:44,13.167,5.307,0,0.161,0,0.027,0,0,0
19:56:44,13.167,5.246,0,0.162,0.071,0.028,0,0,-0.001
20:06:44,13.013,4.941,0,0.164,0.529,0.026,0,0,0
20:16:44,13.068,4.941,0,0.12,0.52,0.026,0,0,0
20:26:44,13.123,4.941,0,0,0.499,0.027,0,0,0
20:36:44,13.123,4.941,0,0,0.5,0.026,0,0,0
20:46:44,13.123,4.941,0,0,0.5,0.026,0,0,0
20:56:44,13.123,4.941,0,0,0.5,0.026,0,0,0
21:06:44,13.123,4.941,0,0,0.501,0.026,0,0,0
21:16:44,13.123,4.941,0,0,0.501,0.026,0,0,0
21:26:44,13.123,4.941,0,0,0.5,0.026,0,0,0
21:36:44,13.123,4.941,0,0,0.489,0.027,0,0,0
21:46:44,13.123,4.941,0,0,0.459,0.027,0,0,0
21:56:44,13.123,4.941,0,0,0.445,0.026,0,0,0
22:06:44,13.123,4.941,0,0,0.412,0.026,0,0,0
22:16:44,13.123,4.941,0,0,0.387,0.026,0,0,0
22:26:44,13.167,4.941,0,0,0.366,0.026,0,0,0
22:36:44,13.167,4.941,0,0,0.313,0.026,0,0,0
22:46:44,13.167,4.941,0,0,0.288,0.026,0,0,0
22:56:44,13.167,4.941,0,0,0.274,0.026,0,0,0
23:06:44,13.167,4.941,0,0,0.261,0.026,0,0,0
23:16:44,13.167,4.941,0,0,0.246,0.026,0,0,0
23:26:44,13.167,4.941,0,0,0.235,0.026,0,0,0
23:36:44,13.167,4.941,0,0,0.219,0.027,0,0,0
23:46:44,13.167,4.941,0,0,0.215,0.027,0,0,0
23:56:44,13.167,4.941,0,0,0.205,0.029,0,0,0
00:06:44,13.167,4.941,0,0,0.191,0.027,0,0,0
00:16:44,13.167,4.941,0,0,0.187,0.026,0,0,0
00:26:44,13.167,4.941,0,0,0.179,0.026,0,0,0
00:36:44,13.167,4.941,0,0,0.168,0.026,0,0,0
00:46:44,13.167,4.941,0,0,0.165,0.028,0,0,0
00:56:44,13.222,5.002,0,0,0.071,0.031,0,0,0
01:06:44,13.167,4.941,0,0,0.167,0.026,0,0,0
01:16:44,13.167,4.941,0,0,0.192,0.028,0,0,0
01:26:44,13.167,4.941,0,0,0.175,0.026,0,0,0
01:36:44,13.167,5.002,0,0,0.101,0.028,0,0,0
01:46:44,13.222,5.002,0,0,0.001,0.027,0,0,0
01:56:44,13.167,5.002,0,0,0.108,0.026,0,0,0
02:06:44,13.167,4.941,0,0,0.175,0.027,0,0,0
02:16:44,13.167,5.002,0,0,0.098,0.026,0,0,0
02:26:44,13.167,5.002,0,0,0.146,0.026,0,0,0
02:36:44,13.167,5.002,0,0,0.101,0.026,0,0,0
02:46:44,13.222,5.002,0,0,0.051,0.026,0,0,0
02:56:44,13.167,5.002,0,0,0.149,0.026,0,0,0
03:06:44,13.167,5.002,0,0,0.099,0.026,0,0,0
03:16:44,13.222,5.002,0,0,0.01,0.026,0,0,0
03:26:44,13.167,4.941,0,0,0.151,0.026,0,0,0
